1100: 00
0000: 01
010: 02
01101: 03
10: 04
01100011: 05
0110001000110000: 06
0110001000110001: 07
11011000: 08
0110001000110010: 09
0111: 0a
0110001000110011: 0b
0110001000110100: 0c
0110001000110101: 0d
0110001000110110: 0e
0110001000110111: 0f
11011001: 10
111: 11
0110001000111000: 12
0110001000111001: 13
0110001000111010: 14
0110001000111011: 15
0110001000111100: 16
0110001000111101: 17
0110001000111110: 18
0110001000111111: 19
0001: 1a
0110001001000000: 1b
0110001001000001: 1c
0110001001000010: 1d
0110001001000011: 1e
0110001001000100: 1f
0110001001000101: 20
0110001001000110: 21
0110001001000111: 22
0110001001001000: 23
0110001001001001: 24
0110001001001010: 25
0110001001001011: 26
0110001001001100: 27
0110001001001101: 28
0110001001001110: 29
0110001001001111: 2a
0110001001010000: 2b
0110001001010001: 2c
0110001001010010: 2d
0110001001010011: 2e
0110001001010100: 2f
0110001001010101: 30
0110001001010110: 31
0110001001010111: 32
110100: 33
0110001001011000: 34
0110001001011001: 35
0110001001011010: 36
0110001001011011: 37
11011010: 38
0110001001011100: 39
0110001001011101: 3a
0110001001011110: 3b
0110001001011111: 3c
0110001001100000: 3d
0110001001100001: 3e
0110001001100010: 3f
0110001001100011: 40
0110001001100100: 41
0110001001100101: 42
0110001001100110: 43
0110001001100111: 44
0110001001101000: 45
0110001001101001: 46
0110001001101010: 47
0110001001101011: 48
0110001001101100: 49
0110001001101101: 4a
0110001001101110: 4b
0110001001101111: 4c
0110001001110000: 4d
0110001001110001: 4e
0110001001110010: 4f
0110001001110011: 50
0110001001110100: 51
0010: 52
0110001001110101: 53
0110001001110110: 54
0110001001110111: 55
0110001001111000: 56
0110001001111001: 57
0110001001111010: 58
0110001001111011: 59
0110001001111100: 5a
0110001001111101: 5b
0110001001111110: 5c
0110001001111111: 5d
0110001010000000: 5e
0110001010000001: 5f
0110001010000010: 60
0110001010000011: 61
0110001010000100: 62
0110001010000101: 63
11011011: 64
0110001010000110: 65
0110001010000111: 66
0110001010001000: 67
0110001010001001: 68
0110001010001010: 69
0110001010001011: 6a
0110001010001100: 6b
0110001010001101: 6c
0110001010001110: 6d
0110001010001111: 6e
0110001010010000: 6f
11011100: 70
0110001010010001: 71
0110001010010010: 72
0110001010010011: 73
0110001010010100: 74
0110001010010101: 75
0110001010010110: 76
0110001010010111: 77
0110001010011000: 78
0110001010011001: 79
0110001010011010: 7a
0110001010011011: 7b
0110001010011100: 7c
0110001010011101: 7d
0110001010011110: 7e
0110001010011111: 7f
11011101: 80
0110001010100000: 81
0110001010100001: 82
0110001010100010: 83
0110001010100011: 84
0110001010100100: 85
0110001010100101: 86
0110001010100110: 87
0110001010100111: 88
0110001010101000: 89
0110001010101001: 8a
0110001010101010: 8b
0011: 8c
0110001010101011: 8d
0110001010101100: 8e
0110001010101101: 8f
0110001010101110: 90
0110001010101111: 91
11011110: 92
0110001010110000: 93
0110001010110001: 94
0110001010110010: 95
0110001010110011: 96
0110001010110100: 97
11011111: 98
0110001010110101: 99
0110001010110110: 9a
0110001010110111: 9b
0110001010111000: 9c
0110001010111001: 9d
0110001010111010: 9e
0110001010111011: 9f
0110001010111100: a0
0110001010111101: a1
0110001010111110: a2
0110001010111111: a3
0110001011000000: a4
0110001011000001: a5
0110001011000010: a6
0110001011000011: a7
0110001011000100: a8
0110001011000101: a9
0110001011000110: aa
0110001011000111: ab
0110001011001000: ac
0110001011001001: ad
1101010: ae
0110001011001010: af
0110001011001011: b0
0110001011001100: b1
0110001011001101: b2
0110001011001110: b3
0110001011001111: b4
0110001011010000: b5
0110001011010001: b6
0110001011010010: b7
0110001011010011: b8
0110001011010100: b9
0110000: ba
0110001011010101: bb
0110001011010110: bc
0110001011010111: bd
0110001011011000: be
0110001011011001: bf
0110001011011010: c0
0110001011011011: c1
0110001011011100: c2
0110001011011101: c3
0110001011011110: c4
0110001011011111: c5
0110001011100000: c6
0110001011100001: c7
0110001011100010: c8
0110001011100011: c9
0110001011100100: ca
0110001011100101: cb
0110001011100110: cc
0110001011100111: cd
0110001011101000: ce
0110001011101001: cf
0110001011101010: d0
0110001011101011: d1
0110001011101100: d2
0110001011101101: d3
0110001011101110: d4
0110001011101111: d5
0110001011110000: d6
0110001011110001: d7
0110001011110010: d8
0110001011110011: d9
0110001011110100: da
0110001011110101: db
0110001011110110: dc
0110001011110111: dd
0110001011111000: de
0110001011111001: df
0110001011111010: e0
0110001011111011: e1
0110001011111100: e2
0110001011111101: e3
0110001011111110: e4
0110001011111111: e5
011000100000000: e6
011000100000001: e7
011000100000010: e8
011000100000011: e9
011000100000100: ea
011000100000101: eb
011000100000110: ec
011000100000111: ed
011000100001000: ee
011000100001001: ef
011000100001010: f0
011000100001011: f1
011000100001100: f2
011000100001101: f3
011000100001110: f4
011000100001111: f5
011000100010000: f6
011000100010001: f7
011000100010010: f8
011000100010011: f9
011000100010100: fa
011000100010101: fb
011000100010110: fc
011000100010111: fd
011001: fe
1101011: ff
