101101: 00
10000001000111110: 01
1111: 02
00: 03
01: 04
100000011: 05
10000001000111111: 06
10000001001000000: 07
1000001: 08
10000001001000001: 09
10001: 0a
10000001001000010: 0b
10000001001000011: 0c
10000001001000100: 0d
10000001001000101: 0e
10000001001000110: 0f
10010: 10
10000001001000111: 11
10000001001001000: 12
10000001001001001: 13
10000001001001010: 14
10000001001001011: 15
10000001001001100: 16
10000001001001101: 17
10000001001001110: 18
10000001001001111: 19
110010: 1a
10000001001010000: 1b
10000001001010001: 1c
10000001001010010: 1d
10000001001010011: 1e
10000001001010100: 1f
10000001001010101: 20
10000001001010110: 21
10000001001010111: 22
10000001001011000: 23
10000001001011001: 24
10000001001011010: 25
10000001001011011: 26
10000001001011100: 27
10000001001011101: 28
10000001001011110: 29
10000001001011111: 2a
10000001001100000: 2b
10000001001100001: 2c
10000001001100010: 2d
10000001001100011: 2e
10000001001100100: 2f
10000001001100101: 30
10000001001100110: 31
10000001001100111: 32
100001: 33
10000001001101000: 34
10000001001101001: 35
10000001001101010: 36
10000001001101011: 37
101100100: 38
10000001001101100: 39
10000001001101101: 3a
10000001001101110: 3b
10000001001101111: 3c
10000001001110000: 3d
10000001001110001: 3e
10000001001110010: 3f
10000001001110011: 40
10000001001110100: 41
10000001001110101: 42
10000001001110110: 43
110011: 44
10000001001110111: 45
10000001001111000: 46
10000001001111001: 47
10000001001111010: 48
10000001001111011: 49
10000001001111100: 4a
10000001001111101: 4b
10000001001111110: 4c
10000001001111111: 4d
10000001010000000: 4e
10000001010000001: 4f
10000001010000010: 50
10000001010000011: 51
110100: 52
10000001010000100: 53
110101: 54
10000001010000101: 55
10000001010000110: 56
10000001010000111: 57
10000001010001000: 58
10000001010001001: 59
10000001010001010: 5a
10000001010001011: 5b
10000001010001100: 5c
10000001010001101: 5d
110110: 5e
10000001010001110: 5f
110111: 60
10000001010001111: 61
10000001010010000: 62
10000001010010001: 63
10011: 64
10000001010010010: 65
10000001010010011: 66
10000001010010100: 67
10000001010010101: 68
10000001010010110: 69
10000001010010111: 6a
10000001010011000: 6b
10000001010011001: 6c
10000001010011010: 6d
10000001010011011: 6e
10000001010011100: 6f
10100: 70
10000001010011101: 71
10000001010011110: 72
10000001010011111: 73
10000001010100000: 74
10000001010100001: 75
10000001010100010: 76
10000001010100011: 77
10000001010100100: 78
10000001010100101: 79
10000001010100110: 7a
10000001010100111: 7b
10000001010101000: 7c
10000001010101001: 7d
10000001010101010: 7e
10000001010101011: 7f
101100101: 80
10000001010101100: 81
10000001010101101: 82
10000001010101110: 83
10000001010101111: 84
10000001010110000: 85
10000001010110001: 86
10000001010110010: 87
10000001010110011: 88
10000001010110100: 89
10000001010110101: 8a
10000001010110110: 8b
111000: 8c
10000001010110111: 8d
10000001010111000: 8e
10000001010111001: 8f
10000001010111010: 90
10000001010111011: 91
101100110: 92
10000001010111100: 93
10000001010111101: 94
10000001010111110: 95
10000001010111111: 96
10000001011000000: 97
101100111: 98
10000001011000001: 99
10000001011000010: 9a
10000001011000011: 9b
10000001011000100: 9c
10000001011000101: 9d
10000001011000110: 9e
10000001011000111: 9f
10000001011001000: a0
10000001011001001: a1
10000001011001010: a2
10000001011001011: a3
10000001011001100: a4
10000001011001101: a5
10000001011001110: a6
10000001011001111: a7
10000001011010000: a8
10000001011010001: a9
10000001011010010: aa
10000001011010011: ab
10000001011010100: ac
10000001011010101: ad
10110000: ae
10000001011010110: af
10000001011010111: b0
10000001011011000: b1
10000001011011001: b2
10000001011011010: b3
10111: b4
10000001011011011: b5
10000001011011100: b6
10000001011011101: b7
10000001011011110: b8
10000001011011111: b9
10000000: ba
10000001011100000: bb
111001: bc
10000001011100001: bd
10000001011100010: be
10000001011100011: bf
10000001011100100: c0
10000001011100101: c1
10000001011100110: c2
10000001011100111: c3
10000001011101000: c4
10000001011101001: c5
10000001011101010: c6
10000001011101011: c7
11000: c8
10000001011101100: c9
10000001011101101: ca
10000001011101110: cb
10000001011101111: cc
10000001011110000: cd
10000001011110001: ce
10000001011110010: cf
10000001011110011: d0
10000001011110100: d1
10000001011110101: d2
10000001011110110: d3
10000001011110111: d4
10000001011111000: d5
10000001011111001: d6
10000001011111010: d7
10000001011111011: d8
10000001011111100: d9
111010: da
10000001011111101: db
10000001011111110: dc
10000001011111111: dd
1000000100000000: de
1000000100000001: df
1000000100000010: e0
1000000100000011: e1
111011: e2
1000000100000100: e3
1000000100000101: e4
1000000100000110: e5
1000000100000111: e6
1000000100001000: e7
1000000100001001: e8
1000000100001010: e9
1000000100001011: ea
1000000100001100: eb
1000000100001101: ec
1000000100001110: ed
1000000100001111: ee
1000000100010000: ef
1000000100010001: f0
1000000100010010: f1
1000000100010011: f2
1000000100010100: f3
1000000100010101: f4
1000000100010110: f5
1000000100010111: f6
1000000100011000: f7
1000000100011001: f8
1000000100011010: f9
1000000100011011: fa
1000000100011100: fb
1000000100011101: fc
1000000100011110: fd
10101: fe
10110001: ff
