010: 00
0111: 01
000: 02
001: 03
0110101: 04
0110110: 05
0110111: 06
011000: 07
011001: 08
011010000010100: 09
011010000010101: 0a
011010000010110: 0b
011010000010111: 0c
011010000011000: 0d
011010000011001: 0e
011010000011010: 0f
011010000011011: 10
1: 11
011010000011100: 12
011010000011101: 13
011010000011110: 14
011010000011111: 15
011010000100000: 16
011010000100001: 17
011010000100010: 18
011010000100011: 19
011010000100100: 1a
011010000100101: 1b
011010000100110: 1c
011010000100111: 1d
011010000101000: 1e
011010000101001: 1f
011010000101010: 20
011010000101011: 21
011010000101100: 22
011010000101101: 23
011010000101110: 24
011010000101111: 25
011010000110000: 26
011010000110001: 27
011010000110010: 28
011010000110011: 29
011010000110100: 2a
011010000110101: 2b
011010000110110: 2c
011010000110111: 2d
011010000111000: 2e
011010000111001: 2f
011010000111010: 30
011010000111011: 31
011010000111100: 32
011010000111101: 33
011010000111110: 34
011010000111111: 35
011010001000000: 36
011010001000001: 37
011010001000010: 38
011010001000011: 39
011010001000100: 3a
011010001000101: 3b
011010001000110: 3c
011010001000111: 3d
011010001001000: 3e
011010001001001: 3f
011010001001010: 40
011010001001011: 41
011010001001100: 42
011010001001101: 43
011010001001110: 44
011010001001111: 45
011010001010000: 46
011010001010001: 47
011010001010010: 48
011010001010011: 49
011010001010100: 4a
011010001010101: 4b
011010001010110: 4c
011010001010111: 4d
011010001011000: 4e
011010001011001: 4f
011010001011010: 50
011010001011011: 51
011010001011100: 52
011010001011101: 53
011010001011110: 54
011010001011111: 55
011010001100000: 56
011010001100001: 57
011010001100010: 58
011010001100011: 59
011010001100100: 5a
011010001100101: 5b
011010001100110: 5c
011010001100111: 5d
011010001101000: 5e
011010001101001: 5f
011010001101010: 60
011010001101011: 61
011010001101100: 62
011010001101101: 63
011010001101110: 64
011010001101111: 65
011010001110000: 66
011010001110001: 67
011010001110010: 68
011010001110011: 69
011010001110100: 6a
011010001110101: 6b
011010001110110: 6c
011010001110111: 6d
011010001111000: 6e
011010001111001: 6f
011010001111010: 70
011010001111011: 71
011010001111100: 72
011010001111101: 73
011010001111110: 74
011010001111111: 75
011010010000000: 76
011010010000001: 77
011010010000010: 78
011010010000011: 79
011010010000100: 7a
011010010000101: 7b
011010010000110: 7c
011010010000111: 7d
011010010001000: 7e
011010010001001: 7f
011010010001010: 80
011010010001011: 81
011010010001100: 82
011010010001101: 83
011010010001110: 84
011010010001111: 85
011010010010000: 86
011010010010001: 87
011010010010010: 88
011010010010011: 89
011010010010100: 8a
011010010010101: 8b
011010010010110: 8c
011010010010111: 8d
011010010011000: 8e
011010010011001: 8f
011010010011010: 90
011010010011011: 91
011010010011100: 92
011010010011101: 93
011010010011110: 94
011010010011111: 95
011010010100000: 96
011010010100001: 97
011010010100010: 98
011010010100011: 99
011010010100100: 9a
011010010100101: 9b
011010010100110: 9c
011010010100111: 9d
011010010101000: 9e
011010010101001: 9f
011010010101010: a0
011010010101011: a1
011010010101100: a2
011010010101101: a3
011010010101110: a4
011010010101111: a5
011010010110000: a6
011010010110001: a7
011010010110010: a8
011010010110011: a9
011010010110100: aa
011010010110101: ab
011010010110110: ac
011010010110111: ad
011010010111000: ae
011010010111001: af
011010010111010: b0
011010010111011: b1
011010010111100: b2
011010010111101: b3
011010010111110: b4
011010010111111: b5
011010011000000: b6
011010011000001: b7
011010011000010: b8
011010011000011: b9
011010011000100: ba
011010011000101: bb
011010011000110: bc
011010011000111: bd
011010011001000: be
011010011001001: bf
011010011001010: c0
011010011001011: c1
011010011001100: c2
011010011001101: c3
011010011001110: c4
011010011001111: c5
011010011010000: c6
011010011010001: c7
011010011010010: c8
011010011010011: c9
011010011010100: ca
011010011010101: cb
011010011010110: cc
011010011010111: cd
011010011011000: ce
011010011011001: cf
011010011011010: d0
011010011011011: d1
011010011011100: d2
011010011011101: d3
011010011011110: d4
011010011011111: d5
011010011100000: d6
011010011100001: d7
011010011100010: d8
011010011100011: d9
011010011100100: da
011010011100101: db
011010011100110: dc
011010011100111: dd
011010011101000: de
011010011101001: df
011010011101010: e0
011010011101011: e1
011010011101100: e2
011010011101101: e3
011010011101110: e4
011010011101111: e5
011010011110000: e6
011010011110001: e7
011010011110010: e8
011010011110011: e9
011010011110100: ea
011010011110101: eb
011010011110110: ec
011010011110111: ed
011010011111000: ee
011010011111001: ef
011010011111010: f0
011010011111011: f1
011010011111100: f2
011010011111101: f3
011010011111110: f4
011010011111111: f5
01101000000000: f6
01101000000001: f7
01101000000010: f8
01101000000011: f9
01101000000100: fa
01101000000101: fb
01101000000110: fc
01101000000111: fd
01101000001000: fe
01101000001001: ff
