011101: 00
0111110101000111100: 01
0011: 02
010: 03
11: 04
01111101011: 05
0111110101000111101: 06
0111110101000111110: 07
10: 08
0111110101000111111: 09
011001: 0a
0111110101001000000: 0b
0111110101001000001: 0c
0111110101001000010: 0d
0111110101001000011: 0e
0111110101001000100: 0f
011010: 10
0111110101001000101: 11
0111110101001000110: 12
0111110101001000111: 13
0111110101001001000: 14
0111110101001001001: 15
0111110101001001010: 16
0111110101001001011: 17
0111110101001001100: 18
0111110101001001101: 19
0111111: 1a
0111110101001001110: 1b
0111110101001001111: 1c
0111110101001010000: 1d
0111110101001010001: 1e
0111110101001010010: 1f
0111110101001010011: 20
0111110101001010100: 21
0111110101001010101: 22
0111110101001010110: 23
0111110101001010111: 24
0111110101001011000: 25
0111110101001011001: 26
0111110101001011010: 27
0111110101001011011: 28
0111110101001011100: 29
0111110101001011101: 2a
0111110101001011110: 2b
0111110101001011111: 2c
0111110101001100000: 2d
0111110101001100001: 2e
0111110101001100010: 2f
0111110101001100011: 30
0111110101001100100: 31
0111110101001100101: 32
0111110101001100110: 33
0111110101001100111: 34
0111110101001101000: 35
0111110101001101001: 36
0111110101001101010: 37
0111110000: 38
0111110101001101011: 39
0111110101001101100: 3a
0111110101001101101: 3b
0111110101001101110: 3c
0111110101001101111: 3d
0111110101001110000: 3e
0111110101001110001: 3f
0111110101001110010: 40
0111110101001110011: 41
0111110101001110100: 42
0111110101001110101: 43
000100: 44
0111110101001110110: 45
0111110101001110111: 46
0111110101001111000: 47
0111110101001111001: 48
0111110101001111010: 49
0111110101001111011: 4a
0111110101001111100: 4b
0111110101001111101: 4c
0111110101001111110: 4d
0111110101001111111: 4e
0111110101010000000: 4f
0111110101010000001: 50
0111110101010000010: 51
000101: 52
0111110101010000011: 53
000110: 54
0111110101010000100: 55
0111110101010000101: 56
0111110101010000110: 57
0111110101010000111: 58
0111110101010001000: 59
0111110101010001001: 5a
0111110101010001010: 5b
0111110101010001011: 5c
0111110101010001100: 5d
000111: 5e
0111110101010001101: 5f
001000: 60
0111110101010001110: 61
0111110101010001111: 62
0111110101010010000: 63
011011: 64
0111110101010010001: 65
0111110101010010010: 66
0111110101010010011: 67
0111110101010010100: 68
0111110101010010101: 69
0111110101010010110: 6a
0111110101010010111: 6b
0111110101010011000: 6c
0111110101010011001: 6d
0111110101010011010: 6e
0111110101010011011: 6f
011100: 70
0111110101010011100: 71
0111110101010011101: 72
0111110101010011110: 73
0111110101010011111: 74
0111110101010100000: 75
0111110101010100001: 76
0111110101010100010: 77
0111110101010100011: 78
0111110101010100100: 79
0111110101010100101: 7a
0111110101010100110: 7b
0111110101010100111: 7c
0111110101010101000: 7d
0111110101010101001: 7e
0111110101010101010: 7f
0111110001: 80
0111110101010101011: 81
0111110101010101100: 82
0111110101010101101: 83
0111110101010101110: 84
0111110101010101111: 85
0111110101010110000: 86
0111110101010110001: 87
0111110101010110010: 88
0111110101010110011: 89
0111110101010110100: 8a
0111110101010110101: 8b
001001: 8c
0111110101010110110: 8d
0111110101010110111: 8e
0111110101010111000: 8f
0111110101010111001: 90
0111110101010111010: 91
0111110010: 92
0111110101010111011: 93
0111110101010111100: 94
0111110101010111101: 95
0111110101010111110: 96
0111110101010111111: 97
0111110011: 98
0111110101011000000: 99
0111110101011000001: 9a
0111110101011000010: 9b
0111110101011000011: 9c
0111110101011000100: 9d
0111110101011000101: 9e
0111110101011000110: 9f
0111110101011000111: a0
0111110101011001000: a1
0111110101011001001: a2
0111110101011001010: a3
0111110101011001011: a4
0111110101011001100: a5
0111110101011001101: a6
0111110101011001110: a7
0111110101011001111: a8
0111110101011010000: a9
0111110101011010001: aa
0111110101011010010: ab
0111110101011010011: ac
0111110101011010100: ad
0111110110: ae
0111110101011010101: af
0111110101011010110: b0
0111110101011010111: b1
0111110101011011000: b2
0111110101011011001: b3
00000: b4
0111110101011011010: b5
0111110101011011011: b6
0111110101011011100: b7
0111110101011011101: b8
0111110101011011110: b9
0111110100: ba
0111110101011011111: bb
001010: bc
0111110101011100000: bd
0111110101011100001: be
0111110101011100010: bf
0111110101011100011: c0
0111110101011100100: c1
0111110101011100101: c2
0111110101011100110: c3
0111110101011100111: c4
0111110101011101000: c5
0111110101011101001: c6
0111110101011101010: c7
00001: c8
0111110101011101011: c9
0111110101011101100: ca
0111110101011101101: cb
0111110101011101110: cc
0111110101011101111: cd
0111110101011110000: ce
0111110101011110001: cf
0111110101011110010: d0
0111110101011110011: d1
0111110101011110100: d2
0111110101011110101: d3
0111110101011110110: d4
0111110101011110111: d5
0111110101011111000: d6
0111110101011111001: d7
0111110101011111010: d8
0111110101011111011: d9
001011: da
0111110101011111100: db
0111110101011111101: dc
0111110101011111110: dd
0111110101011111111: de
011111010100000000: df
011111010100000001: e0
011111010100000010: e1
011000: e2
011111010100000011: e3
011111010100000100: e4
011111010100000101: e5
011111010100000110: e6
011111010100000111: e7
011111010100001000: e8
011111010100001001: e9
011111010100001010: ea
011111010100001011: eb
011111010100001100: ec
011111010100001101: ed
011111010100001110: ee
011111010100001111: ef
011111010100010000: f0
011111010100010001: f1
011111010100010010: f2
011111010100010011: f3
011111010100010100: f4
011111010100010101: f5
011111010100010110: f6
011111010100010111: f7
011111010100011000: f8
011111010100011001: f9
011111010100011010: fa
011111010100011011: fb
011111010100011100: fc
011111010100011101: fd
011110: fe
0111110111: ff
