1011: 00
1000010: 01
1101: 02
010110: 03
1000011: 04
11111010: 05
00001111: 06
1100010: 07
110000: 08
111100: 09
00001110010101010: 0a
00001110010101011: 0b
01001: 0c
1110: 0d
0001: 0e
01101: 0f
01000: 10
01010: 11
0011: 12
00001110010101100: 13
1111011: 14
00001110010101101: 15
00001110010101110: 16
00001110010101111: 17
00001110010110000: 18
00001110010110001: 19
100000: 1a
00001110010110010: 1b
00001110010110011: 1c
00001110010110100: 1d
00001110010110101: 1e
00001110010110110: 1f
00001110010110111: 20
00001110010111000: 21
1100011: 22
00001110010111001: 23
000011101: 24
00001110010111010: 25
1000100: 26
00001110010111011: 27
00001110010111100: 28
00001110010111101: 29
1000101: 2a
00001110010111110: 2b
101001110: 2c
00001110010111111: 2d
00001110011000000: 2e
00001110011000001: 2f
00001110011000010: 30
00001110011000011: 31
1100100: 32
1111100: 33
00001110011000100: 34
00001110011000101: 35
00001110011000110: 36
00001110011000111: 37
1000110: 38
00001110011001000: 39
1100101: 3a
00001110011001001: 3b
00001110011001010: 3c
00001110011001011: 3d
11111011: 3e
00001110011001100: 3f
101001111: 40
00001110011001101: 41
11111100: 42
00001110011001110: 43
00001110011001111: 44
00001110011010000: 45
00001110011010001: 46
00001110011010010: 47
101010000: 48
00001110011010011: 49
1000111: 4a
00001110011010100: 4b
101010001: 4c
00001110011010101: 4d
00001110011010110: 4e
00001110011010111: 4f
1100110: 50
00001110011011000: 51
101010010: 52
00001110011011001: 53
00001110011011010: 54
0010: 55
00001110011011011: 56
00001110011011100: 57
00001110011011101: 58
00001110011011110: 59
1001000: 5a
00001110011011111: 5b
11111101: 5c
00001110011100000: 5d
101010011: 5e
00001110011100001: 5f
101010100: 60
00001110011100010: 61
00001110011100011: 62
00001110011100100: 63
00001110011100101: 64
00001110011100110: 65
00001110011100111: 66
00001110011101000: 67
01110: 68
00001110011101001: 69
00001110011101010: 6a
00001110011101011: 6b
101010101: 6c
00001110011101100: 6d
101010110: 6e
00001110011101101: 6f
00001110011101110: 70
00001110011101111: 71
11111110: 72
00001110011110000: 73
00001110011110001: 74
00001110011110010: 75
10011010: 76
00001110011110011: 77
101010111: 78
00001110011110100: 79
10011011: 7a
00001110011110101: 7b
00001110011110110: 7c
00001110011110111: 7d
010111: 7e
00001110011111000: 7f
1001001: 80
00001110011111001: 81
00001110011111010: 82
00001110011111011: 83
011000: 84
00001110011111100: 85
00001110011111101: 86
00001110011111110: 87
00001110011111111: 88
0000111000000000: 89
10011100: 8a
0000111000000001: 8b
11111111: 8c
0000111000000010: 8d
101011000: 8e
0000111000000011: 8f
0000111000000100: 90
0000111000000101: 91
0000111000000110: 92
0000111000000111: 93
1100111: 94
0000111000001000: 95
10011101: 96
0000111000001001: 97
0000111000001010: 98
0000111000001011: 99
0000000: 9a
0000111000001100: 9b
0000001: 9c
0000111000001101: 9d
0000111000001110: 9e
0000111000001111: 9f
0000111000010000: a0
0000111000010001: a1
101011001: a2
0000111000010010: a3
10011110: a4
0000111000010011: a5
0000111000010100: a6
0000111000010101: a7
10011111: a8
0000111000010110: a9
101011010: aa
0000111000010111: ab
0000111000011000: ac
0000111000011001: ad
1001010: ae
0000111000011010: af
0000111000011011: b0
0000111000011100: b1
1111010: b2
0000111000011101: b3
1001011: b4
0000111000011110: b5
0000111000011111: b6
0000111000100000: b7
101011011: b8
0000111000100001: b9
10100000: ba
0000111000100010: bb
0000111000100011: bc
0000111000100100: bd
1001100: be
0000111000100101: bf
10100001: c0
0000111000100110: c1
0000111000100111: c2
0000111000101000: c3
10100010: c4
0000111000101001: c5
0000111000101010: c6
0000111000101011: c7
0000111000101100: c8
0000111000101101: c9
0000111000101110: ca
0000111000101111: cb
0000111000110000: cc
0000111000110001: cd
0000111000110010: ce
0000111000110011: cf
0000010: d0
0000111000110100: d1
0000011: d2
0000111000110101: d3
0000111000110110: d4
0000111000110111: d5
0000111000111000: d6
0000111000111001: d7
10100011: d8
0000111000111010: d9
10100100: da
0000111000111011: db
0000111000111100: dc
0000111000111101: dd
0000111000111110: de
0000111000111111: df
101011100: e0
0000111001000000: e1
10100101: e2
0000111001000001: e3
101011101: e4
0000111001000010: e5
101011110: e6
0000111001000011: e7
0000111001000100: e8
0000111001000101: e9
0000111001000110: ea
0000111001000111: eb
0000111001001000: ec
0000111001001001: ed
0000111001001010: ee
0000111001001011: ef
0000111001001100: f0
0000111001001101: f1
0000100: f2
0000111001001110: f3
101011111: f4
0000111001001111: f5
0000101: f6
0000111001010000: f7
011001: f8
0000111001010001: f9
10100110: fa
0000111001010010: fb
0000111001010011: fc
0000111001010100: fd
0000110: fe
01111: ff
