100101: 00
0010111101010101000: 01
101: 02
1110010110: 03
10010011: 04
0010111101010101001: 05
00101111011: 06
1000101: 07
001100: 08
001010: 09
0010111101010101010: 0a
0010111101010101011: 0b
11101: 0c
1101: 0d
010: 0e
1001110: 0f
1000110: 10
1001100: 11
0111: 12
0010111101010101100: 13
00011: 14
0010111101010101101: 15
0010111101010101110: 16
0010111101010101111: 17
0010111101010110000: 18
0010111101010110001: 19
00100: 1a
0010111101010110010: 1b
0010111101010110011: 1c
0010111101010110100: 1d
0010111101010110101: 1e
0010111101010110110: 1f
0010111101010110111: 20
0010111101010111000: 21
00101100: 22
0010111101010111001: 23
0000000110: 24
0010111101010111010: 25
00001: 26
0010111101010111011: 27
0010111101010111100: 28
0010111101010111101: 29
111001000: 2a
0010111101010111110: 2b
0000000111: 2c
0010111101010111111: 2d
0010111101011000000: 2e
0010111101011000001: 2f
0010111101011000010: 30
0010111101011000011: 31
00101101: 32
1001111: 33
0010111101011000100: 34
0010111101011000101: 35
0010111101011000110: 36
0010111101011000111: 37
111001001: 38
0010111101011001000: 39
00101110: 3a
0010111101011001001: 3b
0010111101011001010: 3c
0010111101011001011: 3d
111110: 3e
0010111101011001100: 3f
0000001000: 40
0010111101011001101: 41
001011111: 42
0010111101011001110: 43
0010111101011001111: 44
0010111101011010000: 45
0010111101011010001: 46
0010111101011010010: 47
0000001001: 48
0010111101011010011: 49
00010: 4a
0010111101011010100: 4b
0000001010: 4c
0010111101011010101: 4d
0010111101011010110: 4e
0010111101011010111: 4f
11001: 50
0010111101011011000: 51
0000001011: 52
0010111101011011001: 53
0010111101011011010: 54
0010111101011011011: 55
0010111101011011100: 56
0010111101011011101: 57
11100010: 58
0010111101011011110: 59
1110000: 5a
0010111101011011111: 5b
111111: 5c
0010111101011100000: 5d
0000001100: 5e
0010111101011100001: 5f
0000001101: 60
0010111101011100010: 61
0010111101011100011: 62
0010111101011100100: 63
0010111101011100101: 64
0010111101011100110: 65
0010111101011100111: 66
0010111101011101000: 67
00111: 68
0010111101011101001: 69
0010111101011101010: 6a
0010111101011101011: 6b
0000001110: 6c
0010111101011101100: 6d
0000001111: 6e
0010111101011101101: 6f
11100011: 70
0010111101011101110: 71
100010000: 72
0010111101011101111: 73
0010111101011110000: 74
0010111101011110001: 75
1110010111: 76
0010111101011110010: 77
0000010000: 78
0010111101011110011: 79
0000011: 7a
0010111101011110100: 7b
0010111101011110101: 7c
0010111101011110110: 7d
01100: 7e
0010111101011110111: 7f
11110: 80
0010111101011111000: 81
0010111101011111001: 82
0010111101011111010: 83
100000: 84
0010111101011111011: 85
0010111101011111100: 86
0010111101011111101: 87
0010111101011111110: 88
0010111101011111111: 89
1001101: 8a
001011110100000000: 8b
100010001: 8c
001011110100000001: 8d
0000010001: 8e
001011110100000010: 8f
001011110100000011: 90
001011110100000100: 91
001011110100000101: 92
001011110100000110: 93
1000111: 94
001011110100000111: 95
1110011000: 96
001011110100001000: 97
001011110100001001: 98
001011110100001010: 99
0011010: 9a
001011110100001011: 9b
100010010: 9c
001011110100001100: 9d
001011110100001101: 9e
001011110100001110: 9f
001011110100001111: a0
001011110100010000: a1
0000010010: a2
001011110100010001: a3
1110011001: a4
001011110100010010: a5
001011110100010011: a6
001011110100010100: a7
1110011010: a8
001011110100010101: a9
0000010011: aa
001011110100010110: ab
001011110100010111: ac
001011110100011000: ad
11000: ae
001011110100011001: af
001011110100011010: b0
001011110100011011: b1
1001000: b2
001011110100011100: b3
1000011: b4
001011110100011101: b5
001011110100011110: b6
001011110100011111: b7
0000010100: b8
001011110100100000: b9
1110011011: ba
001011110100100001: bb
001011110100100010: bc
001011110100100011: bd
111001010: be
001011110100100100: bf
1110011100: c0
001011110100100101: c1
001011110100100110: c2
001011110100100111: c3
1110011101: c4
001011110100101000: c5
001011110100101001: c6
001011110100101010: c7
001011110100101011: c8
001011110100101100: c9
001011110100101101: ca
001011110100101110: cb
001011110100101111: cc
001011110100110000: cd
001011110100110001: ce
001011110100110010: cf
0011011: d0
001011110100110011: d1
100010011: d2
001011110100110100: d3
001011110100110101: d4
001011110100110110: d5
001011110100110111: d6
001011110100111000: d7
1110011110: d8
001011110100111001: d9
1110011111: da
001011110100111010: db
001011110100111011: dc
001011110100111100: dd
001011110100111101: de
001011110100111110: df
0000010101: e0
001011110100111111: e1
000000000: e2
001011110101000000: e3
0000010110: e4
001011110101000001: e5
0000010111: e6
001011110101000010: e7
001011110101000011: e8
001011110101000100: e9
001011110101000101: ea
001011110101000110: eb
001011110101000111: ec
001011110101001000: ed
001011110101001001: ee
001011110101001010: ef
001011110101001011: f0
001011110101001100: f1
1000010: f2
001011110101001101: f3
0010111100: f4
001011110101001110: f5
100100100: f6
001011110101001111: f7
01101: f8
001011110101010000: f9
000000001: fa
001011110101010001: fb
001011110101010010: fc
001011110101010011: fd
100100101: fe
000000010: ff
