11011: 00
0100000: 01
0101: 02
1010111: 03
111: 04
10111101: 05
10010100: 06
0100001: 07
00: 08
010011: 09
11010111111: 0a
1101011111010011100: 0b
101001: 0c
10011: 0d
100000: 0e
101100: 0f
101010: 10
100001: 11
10001: 12
1101011111010011101: 13
0100010: 14
1101011111010011110: 15
1101011111010011111: 16
1101011111010100000: 17
1101011111010100001: 18
1101011111010100010: 19
10111110: 1a
1101011111010100011: 1b
1101011111010100100: 1c
1101011111010100101: 1d
1101011111010100110: 1e
1101011111010100111: 1f
1101011111010101000: 20
1101011111010101001: 21
110011000: 22
1101011111010101010: 23
1101001100: 24
1101011111010101011: 25
10010101: 26
1101011111010101100: 27
1101011111010101101: 28
1101011111010101110: 29
1101001101: 2a
1101011111010101111: 2b
1101001110: 2c
1101011111010110000: 2d
1101011111010110001: 2e
1101011111010110010: 2f
1101011111010110011: 30
1101011111010110100: 31
110011001: 32
1101011111010110101: 33
1101011111010110110: 34
1101011111010110111: 35
1101011111010111000: 36
1101011111010111001: 37
10111111: 38
1101011111010111010: 39
110011010: 3a
1101011111010111011: 3b
1101011111010111100: 3c
1101011111010111101: 3d
110011011: 3e
1101011111010111110: 3f
1101001111: 40
1101011111010111111: 41
1101011111011000000: 42
1101011111011000001: 43
1101011111011000010: 44
1101011111011000011: 45
1101011111011000100: 46
1101011111011000101: 47
1101010000: 48
1101011111011000110: 49
11001000: 4a
1101011111011000111: 4b
1101010001: 4c
1101011111011001000: 4d
1101011111011001001: 4e
1101011111011001010: 4f
1001000: 50
1101011111011001011: 51
1101010010: 52
1101011111011001100: 53
1101011111011001101: 54
011: 55
1101011111011001110: 56
1101011111011001111: 57
1101011111011010000: 58
1101011111011010001: 59
11001001: 5a
1101011111011010010: 5b
110011100: 5c
1101011111011010011: 5d
1101010011: 5e
1101011111011010100: 5f
1101010100: 60
1101011111011010101: 61
1101011111011010110: 62
1101011111011010111: 63
1101011111011011000: 64
1101011111011011001: 65
1101011111011011010: 66
1101011111011011011: 67
101101: 68
1101011111011011100: 69
1101011111011011101: 6a
1101011111011011110: 6b
1101010101: 6c
1101011111011011111: 6d
1101010110: 6e
1101011111011100000: 6f
1101011111011100001: 70
1101011111011100010: 71
10010110: 72
1101011111011100011: 73
1101011111011100100: 74
1101011111011100101: 75
110011101: 76
1101011111011100110: 77
1101010111: 78
1101011111011100111: 79
110011110: 7a
1101011111011101000: 7b
1101011111011101001: 7c
1101011111011101010: 7d
1011100: 7e
1101011111011101011: 7f
0100011: 80
1101011111011101100: 81
1101011111011101101: 82
1101011111011101110: 83
1011101: 84
1101011111011101111: 85
1101011111011110000: 86
1101011111011110001: 87
1101011111011110010: 88
1101011111011110011: 89
1101011000: 8a
1101011111011110100: 8b
10010111: 8c
1101011111011110101: 8d
1101011001: 8e
1101011111011110110: 8f
1101011111011110111: 90
1101011111011111000: 91
1101011111011111001: 92
1101011111011111010: 93
10100000: 94
1101011111011111011: 95
110011111: 96
1101011111011111100: 97
1101011111011111101: 98
1101011111011111110: 99
10100001: 9a
1101011111011111111: 9b
10100010: 9c
110101111100000000: 9d
110101111100000001: 9e
110101111100000010: 9f
110101111100000011: a0
110101111100000100: a1
1101011010: a2
110101111100000101: a3
110101111100000110: a4
110101111100000111: a5
110101111100001000: a6
110101111100001001: a7
110100000: a8
110101111100001010: a9
1101011011: aa
110101111100001011: ab
110101111100001100: ac
110101111100001101: ad
0100100: ae
110101111100001110: af
110101111100001111: b0
110101111100010000: b1
0100101: b2
110101111100010001: b3
11001010: b4
110101111100010010: b5
110101111100010011: b6
110101111100010100: b7
110101111100010101: b8
110101111100010110: b9
110101111100010111: ba
110101111100011000: bb
110101111100011001: bc
110101111100011010: bd
11001011: be
110101111100011011: bf
110100001: c0
110101111100011100: c1
110101111100011101: c2
110101111100011110: c3
110101111100011111: c4
110101111100100000: c5
110101111100100001: c6
110101111100100010: c7
110101111100100011: c8
110101111100100100: c9
110101111100100101: ca
110101111100100110: cb
110101111100100111: cc
110101111100101000: cd
110101111100101001: ce
110101111100101010: cf
10100011: d0
110101111100101011: d1
110100010: d2
110101111100101100: d3
110101111100101101: d4
110101111100101110: d5
110101111100101111: d6
110101111100110000: d7
110100011: d8
110101111100110001: d9
110101111100110010: da
110101111100110011: db
110101111100110100: dc
110101111100110101: dd
110101111100110110: de
110101111100110111: df
1101011100: e0
110101111100111000: e1
110100100: e2
110101111100111001: e3
1101011101: e4
110101111100111010: e5
1101011110: e6
110101111100111011: e7
110101111100111100: e8
110101111100111101: e9
110101111100111110: ea
110101111100111111: eb
110101111101000000: ec
110101111101000001: ed
110101111101000010: ee
110101111101000011: ef
110101111101000100: f0
110101111101000101: f1
10101100: f2
110101111101000110: f3
110101111101000111: f4
110101111101001000: f5
10101101: f6
110101111101001001: f7
1001001: f8
110101111101001010: f9
110100101: fa
110101111101001011: fb
110101111101001100: fc
110101111101001101: fd
10111100: fe
11000: ff
