110010: 00
00011010101010100110: 01
1101: 02
11101100010: 03
01: 04
00011010101010100111: 05
000110101011: 06
00111110: 07
10: 08
0000111: 09
00011010101010101000: 0a
00011010101010101001: 0b
111110: 0c
11110: 0d
0010: 0e
11101001: 0f
00111111: 10
11001110: 11
11000: 12
00011010101010101010: 13
000100: 14
00011010101010101011: 15
00011010101010101100: 16
00011010101010101101: 17
00011010101010101110: 18
00011010101010101111: 19
000101: 1a
00011010101010110000: 1b
00011010101010110001: 1c
00011010101010110010: 1d
00011010101010110011: 1e
00011010101010110100: 1f
00011010101010110101: 20
00011010101010110110: 21
000110010: 22
00011010101010110111: 23
111011011110: 24
00011010101010111000: 25
000001: 26
00011010101010111001: 27
00011010101010111010: 28
00011010101010111011: 29
1110101110: 2a
00011010101010111100: 2b
111011011111: 2c
00011010101010111101: 2d
00011010101010111110: 2e
00011010101010111111: 2f
00011010101011000000: 30
00011010101011000001: 31
000110011: 32
00011010101011000010: 33
00011010101011000011: 34
00011010101011000100: 35
00011010101011000101: 36
00011010101011000110: 37
1110101111: 38
00011010101011000111: 39
000110100: 3a
00011010101011001000: 3b
00011010101011001001: 3c
00011010101011001010: 3d
1110111: 3e
00011010101011001011: 3f
00001100000: 40
00011010101011001100: 41
0001101011: 42
00011010101011001101: 43
00011010101011001110: 44
00011010101011001111: 45
00011010101011010000: 46
00011010101011010001: 47
00001100001: 48
00011010101011010010: 49
000010: 4a
00011010101011010011: 4b
00001100010: 4c
00011010101011010100: 4d
00011010101011010101: 4e
00011010101011010110: 4f
111001: 50
00011010101011010111: 51
00001100011: 52
00011010101011011000: 53
00011010101011011001: 54
00011010101011011010: 55
00011010101011011011: 56
00011010101011011100: 57
111010001: 58
00011010101011011101: 59
11101010: 5a
00011010101011011110: 5b
000000: 5c
00011010101011011111: 5d
00001100100: 5e
00011010101011100000: 5f
00001100101: 60
00011010101011100001: 61
00011010101011100010: 62
00011010101011100011: 63
00011010101011100100: 64
00011010101011100101: 65
00011010101011100110: 66
00011010101011100111: 67
001100: 68
00011010101011101000: 69
00011010101011101001: 6a
00011010101011101010: 6b
00001100110: 6c
00011010101011101011: 6d
00001100111: 6e
00011010101011101100: 6f
111010110: 70
00011010101011101101: 71
0011110100: 72
00011010101011101110: 73
00011010101011101111: 74
00011010101011110000: 75
11101100011: 76
00011010101011110001: 77
00001101000: 78
00011010101011110010: 79
00011000: 7a
00011010101011110011: 7b
00011010101011110100: 7c
00011010101011110101: 7d
001101: 7e
00011010101011110110: 7f
111111: 80
00011010101011110111: 81
00011010101011111000: 82
00011010101011111001: 83
0001111: 84
00011010101011111010: 85
00011010101011111011: 86
00011010101011111100: 87
00011010101011111101: 88
00011010101011111110: 89
11001111: 8a
00011010101011111111: 8b
0011110101: 8c
0001101010100000000: 8d
00001101001: 8e
0001101010100000001: 8f
0001101010100000010: 90
0001101010100000011: 91
0001101010100000100: 92
0001101010100000101: 93
11001100: 94
0001101010100000110: 95
11101100100: 96
0001101010100000111: 97
0001101010100001000: 98
0001101010100001001: 99
00011011: 9a
0001101010100001010: 9b
0011110110: 9c
0001101010100001011: 9d
0001101010100001100: 9e
0001101010100001101: 9f
0001101010100001110: a0
0001101010100001111: a1
00001101010: a2
0001101010100010000: a3
11101100101: a4
0001101010100010001: a5
0001101010100010010: a6
0001101010100010011: a7
11101100110: a8
0001101010100010100: a9
00001101011: aa
0001101010100010101: ab
0001101010100010110: ac
0001101010100010111: ad
111000: ae
0001101010100011000: af
0001101010100011001: b0
0001101010100011010: b1
11001101: b2
0001101010100011011: b3
00111100: b4
0001101010100011100: b5
0001101010100011101: b6
0001101010100011110: b7
00001101100: b8
0001101010100011111: b9
11101100111: ba
0001101010100100000: bb
0001101010100100001: bc
0001101010100100010: bd
1110110000: be
0001101010100100011: bf
11101101000: c0
0001101010100100100: c1
0001101010100100101: c2
0001101010100100110: c3
11101101001: c4
0001101010100100111: c5
0001101010100101000: c6
0001101010100101001: c7
0001101010100101010: c8
0001101010100101011: c9
0001101010100101100: ca
0001101010100101101: cb
0001101010100101110: cc
0001101010100101111: cd
0001101010100110000: ce
0001101010100110001: cf
00011100: d0
0001101010100110010: d1
0011110111: d2
0001101010100110011: d3
0001101010100110100: d4
0001101010100110101: d5
0001101010100110110: d6
0001101010100110111: d7
11101101010: d8
0001101010100111000: d9
11101101011: da
0001101010100111001: db
0001101010100111010: dc
0001101010100111011: dd
0001101010100111100: de
0001101010100111101: df
00001101101: e0
0001101010100111110: e1
11101101100: e2
0001101010100111111: e3
00001101110: e4
0001101010101000000: e5
00001101111: e6
0001101010101000001: e7
0001101010101000010: e8
0001101010101000011: e9
0001101010101000100: ea
0001101010101000101: eb
0001101010101000110: ec
0001101010101000111: ed
0001101010101001000: ee
0001101010101001001: ef
0001101010101001010: f0
0001101010101001011: f1
00011101: f2
0001101010101001100: f3
00011010100: f4
0001101010101001101: f5
1110100000: f6
0001101010101001110: f7
001110: f8
0001101010101001111: f9
11101101101: fa
0001101010101010000: fb
0001101010101010001: fc
0001101010101010010: fd
1110100001: fe
11101101110: ff
