0101: 00
000001: 01
0110: 02
11000: 03
10011: 04
111: 05
101: 06
110010110: 07
0000101: 08
11001011101001100100: 09
11001011101001100101: 0a
11001011101001100110: 0b
11001011101001100111: 0c
11001011101001101000: 0d
11001011101001101001: 0e
11001011101001101010: 0f
11001011101001101011: 10
1101: 11
11001011101001101100: 12
11001011101001101101: 13
100100: 14
11001011101001101110: 15
11001011101001101111: 16
11001011101001110000: 17
01110: 18
11001011101001110001: 19
11001011101001110010: 1a
11001011101001110011: 1b
11001011101001110100: 1c
11001011101001110101: 1d
11001011101001110110: 1e
11001011101001110111: 1f
000011: 20
11001011101001111000: 21
11001011101001111001: 22
11001011101001111010: 23
11001011101001111011: 24
11001011101001111100: 25
001010: 26
11001011101001111101: 27
11001011101001111110: 28
11001011101001111111: 29
11001011101010000000: 2a
11001011101010000001: 2b
11001011101010000010: 2c
11001011101010000011: 2d
11001011101010000100: 2e
11001011101010000101: 2f
00000000: 30
11001011101010000110: 31
001011: 32
1100110: 33
11001011101010000111: 34
11001011101010001000: 35
11001011101010001001: 36
11001011101010001010: 37
001100: 38
11001011101010001011: 39
11001011101010001100: 3a
11001011101010001101: 3b
11001011101010001110: 3c
11001011101010001111: 3d
11001011101010010000: 3e
11001011101010010001: 3f
01111: 40
11001011101010010010: 41
11001011101010010011: 42
11001011101010010100: 43
11001011101010010101: 44
11001011101010010110: 45
11001011101010010111: 46
11001011101010011000: 47
11001011101010011001: 48
11001011101010011010: 49
11001011101010011011: 4a
11001011101010011100: 4b
11001011101010011101: 4c
11001011101010011110: 4d
11001011101010011111: 4e
11001011101010100000: 4f
11001011101010100001: 50
11001011101010100010: 51
11001011101010100011: 52
11001011101010100100: 53
11001011101010100101: 54
11001011101010100110: 55
11001011101010100111: 56
11001011101010101000: 57
11001011101010101001: 58
11001011101010101010: 59
11001011101010101011: 5a
11001011101010101100: 5b
11001011101010101101: 5c
11001011101010101110: 5d
10000: 5e
11001011101010101111: 5f
11001011101010110000: 60
11001011101010110001: 61
11001011101010110010: 62
11001011101010110011: 63
11001011101010110100: 64
11001011101010110101: 65
11001011101010110110: 66
11001011101010110111: 67
11001011101010111000: 68
11001011101010111001: 69
100101: 6a
11001011101010111010: 6b
1100101111: 6c
11001011101010111011: 6d
11001011101010111100: 6e
11001011101010111101: 6f
11001011101010111110: 70
11001011101010111111: 71
11001011101011000000: 72
11001011101011000001: 73
110010010: 74
11001011101011000010: 75
11001011101011000011: 76
11001011101011000100: 77
11001011101011000101: 78
11001011101011000110: 79
001101: 7a
11001011101011000111: 7b
000000100: 7c
11001011101011001000: 7d
11001011101011001001: 7e
11001011101011001010: 7f
11001011101011001011: 80
11001011101011001100: 81
001110: 82
11001011101011001101: 83
11001011101011001110: 84
11001011101011001111: 85
11001011101011010000: 86
11001011101011010001: 87
000000101: 88
11001011101011010010: 89
11001011101011010011: 8a
11001011101011010100: 8b
001111: 8c
11001011101011010101: 8d
11001011101011010110: 8e
11001011101011010111: 8f
11001011101011011000: 90
11001011101011011001: 91
11001011101011011010: 92
11001011101011011011: 93
010000: 94
11001011101011011100: 95
010001: 96
11001011101011011101: 97
11001011101011011110: 98
11001011101011011111: 99
010010: 9a
11001011101011100000: 9b
11001011101011100001: 9c
11001011101011100010: 9d
11001011101011100011: 9e
11001011101011100100: 9f
010011: a0
11001011101011100101: a1
000000110: a2
11001011101011100110: a3
11001011101011100111: a4
11001011101011101000: a5
11001011101011101001: a6
11001011101011101010: a7
110010011: a8
11001011101011101011: a9
11001011101011101100: aa
11001011101011101101: ab
11001011101011101110: ac
11001011101011101111: ad
11001011101011110000: ae
11001011101011110001: af
10001: b0
11001011101011110010: b1
11001011101011110011: b2
11001011101011110100: b3
00010: b4
11001011101011110101: b5
11001011101011110110: b6
11001011101011110111: b7
11001011101011111000: b8
11001011101011111001: b9
11001011101011111010: ba
11001011101011111011: bb
000000111: bc
11001011101011111100: bd
11001011101011111101: be
11001011101011111110: bf
11001011101011111111: c0
1100101110100000000: c1
1100101110100000001: c2
1100101110100000010: c3
000010000: c4
1100101110100000011: c5
1100101110100000100: c6
1100101110100000101: c7
1100101110100000110: c8
1100101110100000111: c9
00011: ca
1100101110100001000: cb
00000001: cc
1100101110100001001: cd
1100101110100001010: ce
1100101110100001011: cf
1100101110100001100: d0
1100101110100001101: d1
1100101110100001110: d2
1100101110100001111: d3
1100101110100010000: d4
1100101110100010001: d5
1100101110100010010: d6
1100101110100010011: d7
110010100: d8
1100101110100010100: d9
1100101110100010101: da
1100101110100010110: db
000010001: dc
1100101110100010111: dd
1100101110100011000: de
1100101110100011001: df
1100101110100011010: e0
1100101110100011011: e1
1100101110100011100: e2
1100101110100011101: e3
1100101110100011110: e4
1100101110100011111: e5
1100101110100100000: e6
1100101110100100001: e7
00100: e8
1100101110100100010: e9
000010010: ea
1100101110100100011: eb
1100101110100100100: ec
1100101110100100101: ed
11001000: ee
1100101110100100110: ef
1100101110100100111: f0
1100101110100101000: f1
1100111: f2
1100101110100101001: f3
110010101: f4
1100101110100101010: f5
1100101110100101011: f6
1100101110100101100: f7
000010011: f8
1100101110100101101: f9
1100101110100101110: fa
1100101110100101111: fb
1100101110100110000: fc
1100101110100110001: fd
110010111011: fe
11001011100: ff
