111001: 00
1110100101001111000: 01
0110: 02
01111: 03
1010: 04
00: 05
100: 06
1110001: 07
1110101: 08
1110100101001111001: 09
1110100101001111010: 0a
1110100101001111011: 0b
111010011: 0c
1110100101001111100: 0d
1110100101001111101: 0e
1110100101001111110: 0f
1110100101001111111: 10
1110100101010000000: 11
1110100101010000001: 12
1110100101010000010: 13
11101000: 14
1110100101010000011: 15
1110100101010000100: 16
1110100101010000101: 17
111011: 18
1110100101010000110: 19
1110100101010000111: 1a
1110100101010001000: 1b
1110100101010001001: 1c
1110100101010001010: 1d
1110100101010001011: 1e
1110100101010001100: 1f
11001110: 20
1110100101010001101: 21
1110100101010001110: 22
1110100101010001111: 23
1110100101010010000: 24
1110100101010010001: 25
0111011: 26
1110100101010010010: 27
1110100101010010011: 28
1110100101010010100: 29
1110100101010010101: 2a
1110100101010010110: 2b
1110100101010010111: 2c
1110100101010011000: 2d
1110100101010011001: 2e
1110100101010011010: 2f
1011000: 30
1110100101010011011: 31
11001111: 32
0111010: 33
1110100101010011100: 34
1110100101010011101: 35
1110100101010011110: 36
1110100101010011111: 37
1011001: 38
1110100101010100000: 39
1110100101010100001: 3a
1110100101010100010: 3b
1110100101010100011: 3c
1110100101010100100: 3d
11010000: 3e
1110100101010100101: 3f
111110: 40
1110100101010100110: 41
1110100101010100111: 42
1110100101010101000: 43
1110100101010101001: 44
1110100101010101010: 45
1110100101010101011: 46
1110100101010101100: 47
1110100101010101101: 48
1110100101010101110: 49
1110100101010101111: 4a
1110100101010110000: 4b
1110100101010110001: 4c
1110100101010110010: 4d
1110100101010110011: 4e
1110100101010110100: 4f
11010001: 50
1110100101010110101: 51
1011010: 52
1110100101010110110: 53
1110100101010110111: 54
1110100101010111000: 55
11010010: 56
1110100101010111001: 57
1110100101010111010: 58
1110100101010111011: 59
1110100101010111100: 5a
1110100101010111101: 5b
1110100101010111110: 5c
1110100101010111111: 5d
111111: 5e
1110100101011000000: 5f
1110100101011000001: 60
1110100101011000010: 61
1110100101011000011: 62
1110100101011000100: 63
1011011: 64
1110100101011000101: 65
1110100101011000110: 66
1110100101011000111: 67
1110100101011001000: 68
1110100101011001001: 69
01000: 6a
1110100101011001010: 6b
11010011: 6c
1110100101011001011: 6d
1110100101011001100: 6e
1110100101011001101: 6f
1110100101011001110: 70
1110100101011001111: 71
1110100101011010000: 72
1110100101011010001: 73
1011100: 74
1110100101011010010: 75
1110100101011010011: 76
1110100101011010100: 77
1110100101011010101: 78
1110100101011010110: 79
11010100: 7a
1110100101011010111: 7b
11010101: 7c
1110100101011011000: 7d
1110100101011011001: 7e
1110100101011011010: 7f
1110100101011011011: 80
1110100101011011100: 81
010100: 82
1110100101011011101: 83
1110100101011011110: 84
1110100101011011111: 85
1011101: 86
1110100101011100000: 87
11010110: 88
1110100101011100001: 89
1110100101011100010: 8a
1110100101011100011: 8b
1011110: 8c
1110100101011100100: 8d
1110100101011100101: 8e
1110100101011100110: 8f
1110100101011100111: 90
1110100101011101000: 91
11010111: 92
1110100101011101001: 93
1011111: 94
1110100101011101010: 95
1100000: 96
1110100101011101011: 97
1110100101011101100: 98
1110100101011101101: 99
010101: 9a
1110100101011101110: 9b
1110100101011101111: 9c
1110100101011110000: 9d
1110100101011110001: 9e
1110100101011110010: 9f
11011000: a0
1110100101011110011: a1
11011001: a2
1110100101011110100: a3
11011010: a4
1110100101011110101: a5
1110100101011110110: a6
1110100101011110111: a7
010110: a8
1110100101011111000: a9
1110100101011111001: aa
1110100101011111010: ab
1110100101011111011: ac
1110100101011111100: ad
1110100101011111101: ae
1110100101011111110: af
01001: b0
1110100101011111111: b1
11011011: b2
111010010100000000: b3
010111: b4
111010010100000001: b5
111010010100000010: b6
111010010100000011: b7
111010010100000100: b8
111010010100000101: b9
111010010100000110: ba
111010010100000111: bb
11011100: bc
111010010100001000: bd
111010010100001001: be
111010010100001010: bf
111010010100001011: c0
111010010100001100: c1
11011101: c2
111010010100001101: c3
11011110: c4
111010010100001110: c5
111010010100001111: c6
111010010100010000: c7
111010010100010001: c8
111010010100010010: c9
1100001: ca
111010010100010011: cb
1100010: cc
111010010100010100: cd
111010010100010101: ce
111010010100010110: cf
111010010100010111: d0
111010010100011000: d1
111010010100011001: d2
111010010100011010: d3
111010010100011011: d4
111010010100011100: d5
111010010100011101: d6
111010010100011110: d7
1100011: d8
111010010100011111: d9
111010010100100000: da
111010010100100001: db
11011111: dc
111010010100100010: dd
111010010100100011: de
111010010100100100: df
111010010100100101: e0
111010010100100110: e1
111010010100100111: e2
111010010100101000: e3
111010010100101001: e4
111010010100101010: e5
111010010100101011: e6
111010010100101100: e7
1100100: e8
111010010100101101: e9
11100000: ea
111010010100101110: eb
111010010100101111: ec
111010010100110000: ed
011100: ee
111010010100110001: ef
111010010100110010: f0
111010010100110011: f1
11110: f2
111010010100110100: f3
1100101: f4
111010010100110101: f5
111010010100110110: f6
111010010100110111: f7
11100001: f8
111010010100111000: f9
111010010100111001: fa
111010010100111010: fb
1100110: fc
111010010100111011: fd
11101001011: fe
1110100100: ff
