10100: 00
11101000: 01
10011: 02
1010110: 03
01: 04
1111: 05
1011: 06
111010010: 07
00: 08
111010011011001011110: 09
111010011011001011111: 0a
111010011011001100000: 0b
111010011011001100001: 0c
111010011011001100010: 0d
111010011011001100011: 0e
111010011011001100100: 0f
111010011011001100101: 10
110: 11
111010011011001100110: 12
111010011011001100111: 13
1001010: 14
111010011011001101000: 15
111010011011001101001: 16
111010011011001101010: 17
1010111: 18
111010011011001101011: 19
111010011011001101100: 1a
111010011011001101101: 1b
111010011011001101110: 1c
111010011011001101111: 1d
111010011011001110000: 1e
111010011011001110001: 1f
11101110: 20
111010011011001110010: 21
111010011011001110011: 22
111010011011001110100: 23
111010011011001110101: 24
111010011011001110110: 25
11101111: 26
111010011011001110111: 27
111010011011001111000: 28
111010011011001111001: 29
111010011011001111010: 2a
111010011011001111011: 2b
111010011011001111100: 2c
111010011011001111101: 2d
111010011011001111110: 2e
111010011011001111111: 2f
11101001110: 30
111010011011010000000: 31
1000000: 32
111010011011010000001: 33
111010011011010000010: 34
111010011011010000011: 35
111010011011010000100: 36
111010011011010000101: 37
1000001: 38
111010011011010000110: 39
111010011011010000111: 3a
111010011011010001000: 3b
111010011011010001001: 3c
111010011011010001010: 3d
111010011011010001011: 3e
111010011011010001100: 3f
1110000: 40
111010011011010001101: 41
111010011011010001110: 42
111010011011010001111: 43
111010011011010010000: 44
111010011011010010001: 45
111010011011010010010: 46
111010011011010010011: 47
111010011011010010100: 48
111010011011010010101: 49
111010011011010010110: 4a
111010011011010010111: 4b
111010011011010011000: 4c
111010011011010011001: 4d
111010011011010011010: 4e
111010011011010011011: 4f
111010011011010011100: 50
111010011011010011101: 51
111010011011010011110: 52
111010011011010011111: 53
111010011011010100000: 54
111010011011010100001: 55
111010011011010100010: 56
111010011011010100011: 57
111010011011010100100: 58
111010011011010100101: 59
111010011011010100110: 5a
111010011011010100111: 5b
111010011011010101000: 5c
111010011011010101001: 5d
1110001: 5e
111010011011010101010: 5f
111010011011010101011: 60
111010011011010101100: 61
111010011011010101101: 62
111010011011010101110: 63
111010011011010101111: 64
111010011011010110000: 65
111010011011010110001: 66
111010011011010110010: 67
111010011011010110011: 68
111010011011010110100: 69
1110010: 6a
111010011011010110101: 6b
10010111000: 6c
111010011011010110110: 6d
111010011011010110111: 6e
111010011011010111000: 6f
111010011011010111001: 70
111010011011010111010: 71
111010011011010111011: 72
111010011011010111100: 73
111001100: 74
111010011011010111101: 75
111010011011010111110: 76
111010011011010111111: 77
111010011011011000000: 78
111010011011011000001: 79
1000010: 7a
111010011011011000010: 7b
10010111001: 7c
111010011011011000011: 7d
111010011011011000100: 7e
111010011011011000101: 7f
111010011011011000110: 80
111010011011011000111: 81
1000011: 82
111010011011011001000: 83
111010011011011001001: 84
111010011011011001010: 85
111010011011011001011: 86
111010011011011001100: 87
10010111010: 88
111010011011011001101: 89
111010011011011001110: 8a
111010011011011001111: 8b
1000100: 8c
111010011011011010000: 8d
111010011011011010001: 8e
111010011011011010010: 8f
111010011011011010011: 90
111010011011011010100: 91
111010011011011010101: 92
111010011011011010110: 93
1000101: 94
111010011011011010111: 95
1000110: 96
111010011011011011000: 97
111010011011011011001: 98
111010011011011011010: 99
1000111: 9a
111010011011011011011: 9b
111010011011011011100: 9c
111010011011011011101: 9d
111010011011011011110: 9e
111010011011011011111: 9f
111010011011011100000: a0
111010011011011100001: a1
10010111011: a2
111010011011011100010: a3
111010011011011100011: a4
111010011011011100100: a5
111010011011011100101: a6
111010011011011100110: a7
111001101: a8
111010011011011100111: a9
111010011011011101000: aa
111010011011011101001: ab
111010011011011101010: ac
111010011011011101011: ad
111010011011011101100: ae
111010011011011101101: af
101010: b0
111010011011011101110: b1
111010011011011101111: b2
111010011011011110000: b3
111010011011011110001: b4
111010011011011110010: b5
111010011011011110011: b6
111010011011011110100: b7
111010011011011110101: b8
111010011011011110110: b9
111010011011011110111: ba
111010011011011111000: bb
10010111100: bc
111010011011011111001: bd
111010011011011111010: be
111010011011011111011: bf
111010011011011111100: c0
111010011011011111101: c1
111010011011011111110: c2
111010011011011111111: c3
10010111101: c4
11101001101100000000: c5
11101001101100000001: c6
11101001101100000010: c7
11101001101100000011: c8
11101001101100000100: c9
1110101: ca
11101001101100000101: cb
11101001111: cc
11101001101100000110: cd
11101001101100000111: ce
11101001101100001000: cf
11101001101100001001: d0
11101001101100001010: d1
11101001101100001011: d2
11101001101100001100: d3
11101001101100001101: d4
11101001101100001110: d5
11101001101100001111: d6
11101001101100010000: d7
111001110: d8
11101001101100010001: d9
11101001101100010010: da
11101001101100010011: db
10010111110: dc
11101001101100010100: dd
11101001101100010101: de
11101001101100010110: df
11101001101100010111: e0
11101001101100011000: e1
11101001101100011001: e2
11101001101100011010: e3
11101001101100011011: e4
11101001101100011100: e5
11101001101100011101: e6
11101001101100011110: e7
1110110: e8
11101001101100011111: e9
10010111111: ea
11101001101100100000: eb
11101001101100100001: ec
11101001101100100010: ed
10010110: ee
11101001101100100011: ef
11101001101100100100: f0
11101001101100100101: f1
100100: f2
11101001101100100110: f3
111001111: f4
11101001101100100111: f5
11101001101100101000: f6
11101001101100101001: f7
11101001100: f8
11101001101100101010: f9
11101001101100101011: fa
11101001101100101100: fb
11101001101100101101: fc
11101001101100101110: fd
1110100110111: fe
111010011010: ff
