101000: 00
10111101101001110110: 01
10000: 02
100010: 03
11: 04
001: 05
1001: 06
10111100: 07
01: 08
10111101101001110111: 09
10111101101001111000: 0a
10111101101001111001: 0b
1011110111: 0c
10111101101001111010: 0d
10111101101001111011: 0e
10111101101001111100: 0f
10111101101001111101: 10
10111101101001111110: 11
10111101101001111111: 12
10111101101010000000: 13
101111010: 14
10111101101010000001: 15
10111101101010000010: 16
10111101101010000011: 17
1011111: 18
10111101101010000100: 19
10111101101010000101: 1a
10111101101010000110: 1b
10111101101010000111: 1c
10111101101010001000: 1d
10111101101010001001: 1e
10111101101010001010: 1f
101100100: 20
10111101101010001011: 21
10111101101010001100: 22
10111101101010001101: 23
10111101101010001110: 24
10111101101010001111: 25
10001110: 26
10111101101010010000: 27
10111101101010010001: 28
10111101101010010010: 29
10111101101010010011: 2a
10111101101010010100: 2b
10111101101010010101: 2c
10111101101010010110: 2d
10111101101010010111: 2e
10111101101010011000: 2f
10001111: 30
10111101101010011001: 31
101100101: 32
10111101101010011010: 33
10111101101010011011: 34
10111101101010011100: 35
10111101101010011101: 36
10111101101010011110: 37
10100100: 38
10111101101010011111: 39
10111101101010100000: 3a
10111101101010100001: 3b
10111101101010100010: 3c
10111101101010100011: 3d
101100110: 3e
10111101101010100100: 3f
000010: 40
10111101101010100101: 41
10111101101010100110: 42
10111101101010100111: 43
10111101101010101000: 44
10111101101010101001: 45
10111101101010101010: 46
10111101101010101011: 47
10111101101010101100: 48
10111101101010101101: 49
10111101101010101110: 4a
10111101101010101111: 4b
10111101101010110000: 4c
10111101101010110001: 4d
10111101101010110010: 4e
10111101101010110011: 4f
101100111: 50
10111101101010110100: 51
10100101: 52
10111101101010110101: 53
10111101101010110110: 54
10111101101010110111: 55
101101000: 56
10111101101010111000: 57
10111101101010111001: 58
10111101101010111010: 59
10111101101010111011: 5a
10111101101010111100: 5b
10111101101010111101: 5c
10111101101010111110: 5d
000011: 5e
10111101101010111111: 5f
10111101101011000000: 60
10111101101011000001: 61
10111101101011000010: 62
10111101101011000011: 63
10100110: 64
10111101101011000100: 65
10111101101011000101: 66
10111101101011000110: 67
10111101101011000111: 68
10111101101011001000: 69
000100: 6a
10111101101011001001: 6b
101101001: 6c
10111101101011001010: 6d
10111101101011001011: 6e
10111101101011001100: 6f
10111101101011001101: 70
10111101101011001110: 71
10111101101011001111: 72
10111101101011010000: 73
10100111: 74
10111101101011010001: 75
10111101101011010010: 76
10111101101011010011: 77
10111101101011010100: 78
10111101101011010101: 79
101101010: 7a
10111101101011010110: 7b
101101011: 7c
10111101101011010111: 7d
10111101101011011000: 7e
10111101101011011001: 7f
10111101101011011010: 80
10111101101011011011: 81
0001100: 82
10111101101011011100: 83
10111101101011011101: 84
10111101101011011110: 85
10101000: 86
10111101101011011111: 87
101101100: 88
10111101101011100000: 89
10111101101011100001: 8a
10111101101011100010: 8b
10101001: 8c
10111101101011100011: 8d
10111101101011100100: 8e
10111101101011100101: 8f
10111101101011100110: 90
10111101101011100111: 91
101101101: 92
10111101101011101000: 93
10101010: 94
10111101101011101001: 95
10101011: 96
10111101101011101010: 97
10111101101011101011: 98
10111101101011101100: 99
0001101: 9a
10111101101011101101: 9b
10111101101011101110: 9c
10111101101011101111: 9d
10111101101011110000: 9e
10111101101011110001: 9f
101101110: a0
10111101101011110010: a1
101101111: a2
10111101101011110011: a3
101110000: a4
10111101101011110100: a5
10111101101011110101: a6
10111101101011110110: a7
0001110: a8
10111101101011110111: a9
10111101101011111000: aa
10111101101011111001: ab
10111101101011111010: ac
10111101101011111011: ad
10111101101011111100: ae
10111101101011111101: af
000101: b0
10111101101011111110: b1
101110001: b2
10111101101011111111: b3
0001111: b4
1011110110100000000: b5
1011110110100000001: b6
1011110110100000010: b7
1011110110100000011: b8
1011110110100000100: b9
1011110110100000101: ba
1011110110100000110: bb
101110010: bc
1011110110100000111: bd
1011110110100001000: be
1011110110100001001: bf
1011110110100001010: c0
1011110110100001011: c1
101110011: c2
1011110110100001100: c3
101110100: c4
1011110110100001101: c5
1011110110100001110: c6
1011110110100001111: c7
1011110110100010000: c8
1011110110100010001: c9
10101100: ca
1011110110100010010: cb
10101101: cc
1011110110100010011: cd
1011110110100010100: ce
1011110110100010101: cf
1011110110100010110: d0
1011110110100010111: d1
1011110110100011000: d2
1011110110100011001: d3
1011110110100011010: d4
1011110110100011011: d5
1011110110100011100: d6
1011110110100011101: d7
10101110: d8
1011110110100011110: d9
1011110110100011111: da
1011110110100100000: db
101110101: dc
1011110110100100001: dd
1011110110100100010: de
1011110110100100011: df
1011110110100100100: e0
1011110110100100101: e1
1011110110100100110: e2
1011110110100100111: e3
1011110110100101000: e4
1011110110100101001: e5
1011110110100101010: e6
1011110110100101011: e7
10101111: e8
1011110110100101100: e9
101110110: ea
1011110110100101101: eb
1011110110100101110: ec
1011110110100101111: ed
1000110: ee
1011110110100110000: ef
1011110110100110001: f0
1011110110100110010: f1
00000: f2
1011110110100110011: f3
10110000: f4
1011110110100110100: f5
1011110110100110101: f6
1011110110100110110: f7
101110111: f8
1011110110100110111: f9
1011110110100111000: fa
1011110110100111001: fb
10110001: fc
1011110110100111010: fd
101111011011: fe
10111101100: ff
