10: 00
000: 01
11101: 02
111101: 03
11111000: 04
11100111000110010: 05
11100111000110011: 06
11100111000110100: 07
11111001: 08
11100111000110101: 09
11100111000110110: 0a
11100111000110111: 0b
11100111000111000: 0c
11100111000111001: 0d
11100111000111010: 0e
11100111000111011: 0f
11100111000111100: 10
01: 11
11100111000111101: 12
11100111000111110: 13
11100111000111111: 14
11100111001000000: 15
11100111001000001: 16
11100111001000010: 17
11100111001000011: 18
11100111001000100: 19
11100111001000101: 1a
11100111001000110: 1b
11100111001000111: 1c
11100111001001000: 1d
11100111001001001: 1e
11100111001001010: 1f
11100111001001011: 20
11100111001001100: 21
11100111001001101: 22
11100111001001110: 23
11100111001001111: 24
11100111001010000: 25
11100111001010001: 26
11100111001010010: 27
11100111001010011: 28
11100111001010100: 29
11100111001010101: 2a
11100111001010110: 2b
11100111001010111: 2c
11100111001011000: 2d
11100111001011001: 2e
11100111001011010: 2f
11100111001011011: 30
11100111001011100: 31
11100111001011101: 32
111100: 33
11100111001011110: 34
11100111001011111: 35
11100111001100000: 36
11100111001100001: 37
11111010: 38
11100111001100010: 39
11100111001100011: 3a
11100111001100100: 3b
11100111001100101: 3c
11100111001100110: 3d
11100111001100111: 3e
11100111001101000: 3f
11100111001101001: 40
11100111001101010: 41
11100111001101011: 42
11100111001101100: 43
11100111001101101: 44
11100111001101110: 45
11100111001101111: 46
11100111001110000: 47
11100111001110001: 48
11100111001110010: 49
11100111001110011: 4a
11100111001110100: 4b
11100111001110101: 4c
11100111001110110: 4d
11100111001110111: 4e
11100111001111000: 4f
11100111001111001: 50
11100111001111010: 51
11100111001111011: 52
11100111001111100: 53
11100111001111101: 54
11100111001111110: 55
11100111001111111: 56
11100111010000000: 57
111001111: 58
11100111010000001: 59
11100111010000010: 5a
11100111010000011: 5b
11100111010000100: 5c
11100111010000101: 5d
11100111010000110: 5e
11100111010000111: 5f
11100111010001000: 60
11100111010001001: 61
11100111010001010: 62
11100111010001011: 63
001: 64
11100111010001100: 65
11100111010001101: 66
11100111010001110: 67
111111110: 68
11100111010001111: 69
11100111010010000: 6a
11100111010010001: 6b
11100111010010010: 6c
11100111010010011: 6d
11100111010010100: 6e
11100111010010101: 6f
11100111010010110: 70
11100111010010111: 71
11100111010011000: 72
11100111010011001: 73
11100111010011010: 74
11100111010011011: 75
11111011: 76
11100111010011100: 77
11100111010011101: 78
11100111010011110: 79
11100111010011111: 7a
11100111010100000: 7b
11100111010100001: 7c
11100111010100010: 7d
11100111010100011: 7e
11100111010100100: 7f
11111100: 80
11100111010100101: 81
11100111010100110: 82
11100111010100111: 83
11100111010101000: 84
11100111010101001: 85
11100111010101010: 86
11100111010101011: 87
111111111: 88
11100111010101100: 89
11100111010101101: 8a
11100111010101110: 8b
11100111010101111: 8c
11100111010110000: 8d
11100111010110001: 8e
11100111010110010: 8f
11100111010110011: 90
11100111010110100: 91
11100111010110101: 92
11100111010110110: 93
11100111010110111: 94
11100111010111000: 95
11100111010111001: 96
11100111010111010: 97
11100111010111011: 98
11100111010111100: 99
11100111010111101: 9a
11100111010111110: 9b
11100111010111111: 9c
11100111011000000: 9d
11100111011000001: 9e
11100111011000010: 9f
11100111011000011: a0
11100111011000100: a1
11111101: a2
11100111011000101: a3
11100000: a4
11100111011000110: a5
11100111011000111: a6
11100111011001000: a7
11100111011001001: a8
11100111011001010: a9
11100111011001011: aa
11100111011001100: ab
11100111011001101: ac
11100111011001110: ad
11100111011001111: ae
11100111011010000: af
11100111011010001: b0
11100111011010010: b1
11100111011010011: b2
11100111011010100: b3
11100111011010101: b4
11100111011010110: b5
11100001: b6
11100111011010111: b7
11100111011011000: b8
11100111011011001: b9
11100111011011010: ba
11100111011011011: bb
11100111011011100: bc
11100111011011101: bd
11100111011011110: be
11100111011011111: bf
11100111011100000: c0
11100111011100001: c1
11100111011100010: c2
11100111011100011: c3
11100111011100100: c4
11100111011100101: c5
11100010: c6
11100111011100110: c7
11100111011100111: c8
11100111011101000: c9
11100111011101001: ca
11100111011101010: cb
11100111011101011: cc
11100111011101100: cd
11100111011101101: ce
11100111011101110: cf
11100111011101111: d0
11100111011110000: d1
11100111011110001: d2
11100111011110010: d3
11100111011110011: d4
11100111011110100: d5
11100111011110101: d6
11100111011110110: d7
11100011: d8
11100111011110111: d9
11100111011111000: da
11100111011111001: db
11100111011111010: dc
11100111011111011: dd
11100111011111100: de
11100111011111101: df
11100111011111110: e0
11100111011111111: e1
1110011100000000: e2
1110011100000001: e3
1110011100000010: e4
1110011100000011: e5
1110011100000100: e6
1110011100000101: e7
11100100: e8
1110011100000110: e9
1110011100000111: ea
1110011100001000: eb
1110011100001001: ec
1110011100001010: ed
1110011100001011: ee
1110011100001100: ef
1110011100001101: f0
1110011100001110: f1
11100101: f2
1110011100001111: f3
1110011100010000: f4
1110011100010001: f5
1110011100010010: f6
1110011100010011: f7
1110011100010100: f8
1110011100010101: f9
1110011100010110: fa
1110011100010111: fb
11100110: fc
1110011100011000: fd
11111110: fe
110: ff
