10111: 00
1011010000000110010: 01
0: 02
1010: 03
100010: 04
1011010000000110011: 05
1011010000000110100: 06
1011010000000110101: 07
1011011: 08
1011010000000110110: 09
1011010000000110111: 0a
1011010000000111000: 0b
10110100001: 0c
1011010000000111001: 0d
1011010000000111010: 0e
1011010000000111011: 0f
1011010000000111100: 10
1011010000000111101: 11
1011010000000111110: 12
1011010000000111111: 13
1011010000001000000: 14
1011010000001000001: 15
1011010000001000010: 16
1011010000001000011: 17
1011010000001000100: 18
1011010000001000101: 19
1011010000001000110: 1a
1011010000001000111: 1b
1011010000001001000: 1c
1011010000001001001: 1d
1011010000001001010: 1e
1011010000001001011: 1f
1011010000001001100: 20
1011010000001001101: 21
1011010000001001110: 22
1011010000001001111: 23
1011010000001010000: 24
1011010000001010001: 25
1011010000001010010: 26
1011010000001010011: 27
1011010000001010100: 28
1011010000001010101: 29
1011010000001010110: 2a
1011010000001010111: 2b
1011010000001011000: 2c
1011010000001011001: 2d
1011010000001011010: 2e
1011010000001011011: 2f
1011010000001011100: 30
1011010000001011101: 31
1011010000001011110: 32
10000: 33
1011010000001011111: 34
1011010000001100000: 35
1011010000001100001: 36
1011010000001100010: 37
100011: 38
1011010000001100011: 39
1011010000001100100: 3a
1011010000001100101: 3b
1011010000001100110: 3c
1011010000001100111: 3d
1011010000001101000: 3e
1011010000001101001: 3f
1011010000001101010: 40
1011010000001101011: 41
1011010000001101100: 42
1011010000001101101: 43
1011010000001101110: 44
1011010000001101111: 45
11: 46
1011010000001110000: 47
1011010000001110001: 48
1011010000001110010: 49
1011010000001110011: 4a
1011010000001110100: 4b
1011010000001110101: 4c
1011010000001110110: 4d
1011010000001110111: 4e
1011010000001111000: 4f
1011010000001111001: 50
1011010000001111010: 51
1011010000001111011: 52
1011010000001111100: 53
1011010000001111101: 54
1011010000001111110: 55
1011010000001111111: 56
1011010000010000000: 57
100100: 58
1011010000010000001: 59
1011010000010000010: 5a
1011010000010000011: 5b
1011010000010000100: 5c
1011010000010000101: 5d
1011010000010000110: 5e
1011010000010000111: 5f
1011010000010001000: 60
1011010000010001001: 61
1011010000010001010: 62
1011010000010001011: 63
1011010000010001100: 64
1011010000010001101: 65
1011010000010001110: 66
1011010000010001111: 67
10110101000: 68
1011010000010010000: 69
1011010000010010001: 6a
1011010000010010010: 6b
1011010000010010011: 6c
1011010000010010100: 6d
1011010000010010101: 6e
1011010000010010110: 6f
1011010000010010111: 70
1011010000010011000: 71
1011010000010011001: 72
1011010000010011010: 73
1011010000010011011: 74
1011010000010011100: 75
100101: 76
1011010000010011101: 77
1011010000010011110: 78
1011010000010011111: 79
1011010000010100000: 7a
1011010000010100001: 7b
1011010000010100010: 7c
1011010000010100011: 7d
1011010000010100100: 7e
1011010000010100101: 7f
100110: 80
1011010000010100110: 81
1011010000010100111: 82
1011010000010101000: 83
1011010000010101001: 84
1011010000010101010: 85
1011010000010101011: 86
1011010000010101100: 87
10110101001: 88
1011010000010101101: 89
1011010000010101110: 8a
1011010000010101111: 8b
1011010000010110000: 8c
1011010000010110001: 8d
1011010000010110010: 8e
1011010000010110011: 8f
1011010000010110100: 90
1011010000010110101: 91
1011010000010110110: 92
1011010000010110111: 93
1011010000010111000: 94
1011010000010111001: 95
1011010000010111010: 96
1011010000010111011: 97
1011010000010111100: 98
1011010000010111101: 99
1011010000010111110: 9a
1011010000010111111: 9b
1011010000011000000: 9c
1011010000011000001: 9d
1011010000011000010: 9e
1011010000011000011: 9f
1011010000011000100: a0
1011010000011000101: a1
100111: a2
1011010000011000110: a3
10110101010: a4
1011010000011000111: a5
1011010000011001000: a6
1011010000011001001: a7
1011010000011001010: a8
1011010000011001011: a9
1011010000011001100: aa
1011010000011001101: ab
1011010000011001110: ac
1011010000011001111: ad
1011010000011010000: ae
1011010000011010001: af
1011010000011010010: b0
1011010000011010011: b1
1011010000011010100: b2
1011010000011010101: b3
1011010000011010110: b4
1011010000011010111: b5
101100: b6
1011010000011011000: b7
1011010000011011001: b8
1011010000011011010: b9
1011010000011011011: ba
1011010000011011100: bb
1011010000011011101: bc
1011010000011011110: bd
1011010000011011111: be
1011010000011100000: bf
1011010000011100001: c0
1011010000011100010: c1
1011010000011100011: c2
1011010000011100100: c3
1011010000011100101: c4
1011010000011100110: c5
1011010001: c6
1011010000011100111: c7
1011010000011101000: c8
1011010000011101001: c9
1011010000011101010: ca
1011010000011101011: cb
1011010000011101100: cc
1011010000011101101: cd
1011010000011101110: ce
1011010000011101111: cf
1011010000011110000: d0
1011010000011110001: d1
1011010000011110010: d2
1011010000011110011: d3
1011010000011110100: d4
1011010000011110101: d5
1011010000011110110: d6
1011010000011110111: d7
10110101011: d8
1011010000011111000: d9
1011010000011111001: da
1011010000011111010: db
10110101100: dc
1011010000011111011: dd
1011010000011111100: de
1011010000011111101: df
1011010000011111110: e0
1011010000011111111: e1
101101000000000000: e2
101101000000000001: e3
101101000000000010: e4
101101000000000011: e5
101101000000000100: e6
101101000000000101: e7
10110101101: e8
101101000000000110: e9
101101000000000111: ea
101101000000001000: eb
101101000000001001: ec
101101000000001010: ed
101101000000001011: ee
101101000000001100: ef
101101000000001101: f0
101101000000001110: f1
10110101110: f2
101101000000001111: f3
101101000000010000: f4
101101000000010001: f5
101101000000010010: f6
101101000000010011: f7
101101000000010100: f8
101101000000010101: f9
101101000000010110: fa
101101000000010111: fb
10110101111: fc
101101000000011000: fd
1011010010: fe
1011010011: ff
