1100: 00
01000010000110010: 01
1011: 02
100: 03
00: 04
01000010000110011: 05
01000010000110100: 06
01000010000110101: 07
111: 08
01000010000110110: 09
01000010000110111: 0a
01000010000111000: 0b
010000101: 0c
01000010000111001: 0d
01000010000111010: 0e
01000010000111011: 0f
01000010000111100: 10
1101: 11
01000010000111101: 12
01000010000111110: 13
01000010000111111: 14
01000010001000000: 15
01000010001000001: 16
01000010001000010: 17
01000010001000011: 18
01000010001000100: 19
01000010001000101: 1a
01000010001000110: 1b
01000010001000111: 1c
01000010001001000: 1d
01000010001001001: 1e
01000010001001010: 1f
01000010001001011: 20
01000010001001100: 21
01000010001001101: 22
01000010001001110: 23
01000010001001111: 24
01000010001010000: 25
01000010001010001: 26
01000010001010010: 27
01000010001010011: 28
01000010001010100: 29
01000010001010101: 2a
01000010001010110: 2b
01000010001010111: 2c
01000010001011000: 2d
01000010001011001: 2e
01000010001011010: 2f
01000010001011011: 30
01000010001011100: 31
01000010001011101: 32
01000010001011110: 33
01000010001011111: 34
01000010001100000: 35
01000010001100001: 36
01000010001100010: 37
01001: 38
01000010001100011: 39
01000010001100100: 3a
01000010001100101: 3b
01000010001100110: 3c
01000010001100111: 3d
01000010001101000: 3e
01000010001101001: 3f
01000010001101010: 40
01000010001101011: 41
01000010001101100: 42
01000010001101101: 43
01000010001101110: 44
01000010001101111: 45
01000010001110000: 46
01000010001110001: 47
01000010001110010: 48
01000010001110011: 49
01000010001110100: 4a
01000010001110101: 4b
01000010001110110: 4c
01000010001110111: 4d
01000010001111000: 4e
01000010001111001: 4f
01000010001111010: 50
01000010001111011: 51
01000010001111100: 52
01000010001111101: 53
01000010001111110: 54
01000010001111111: 55
01000010010000000: 56
01000010010000001: 57
01010: 58
01000010010000010: 59
01000010010000011: 5a
01000010010000100: 5b
01000010010000101: 5c
01000010010000110: 5d
01000010010000111: 5e
01000010010001000: 5f
01000010010001001: 60
01000010010001010: 61
01000010010001011: 62
01000010010001100: 63
01011: 64
01000010010001101: 65
01000010010001110: 66
01000010010001111: 67
010001010: 68
01000010010010000: 69
01000010010010001: 6a
01000010010010010: 6b
01000010010010011: 6c
01000010010010100: 6d
01000010010010101: 6e
01000010010010110: 6f
01000010010010111: 70
01000010010011000: 71
01000010010011001: 72
01000010010011010: 73
01000010010011011: 74
01000010010011100: 75
01100: 76
01000010010011101: 77
01000010010011110: 78
01000010010011111: 79
01000010010100000: 7a
01000010010100001: 7b
01000010010100010: 7c
01000010010100011: 7d
01000010010100100: 7e
01000010010100101: 7f
01101: 80
01000010010100110: 81
01000010010100111: 82
01000010010101000: 83
01000010010101001: 84
01000010010101010: 85
01000010010101011: 86
01000010010101100: 87
010001011: 88
01000010010101101: 89
01000010010101110: 8a
01000010010101111: 8b
01000010010110000: 8c
01000010010110001: 8d
01000010010110010: 8e
01000010010110011: 8f
01000010010110100: 90
01000010010110101: 91
01000010010110110: 92
01000010010110111: 93
01000010010111000: 94
01000010010111001: 95
01000010010111010: 96
01000010010111011: 97
01000010010111100: 98
01000010010111101: 99
01000010010111110: 9a
01000010010111111: 9b
01000010011000000: 9c
01000010011000001: 9d
01000010011000010: 9e
01000010011000011: 9f
01000010011000100: a0
01000010011000101: a1
01110: a2
01000010011000110: a3
010001100: a4
01000010011000111: a5
01000010011001000: a6
01000010011001001: a7
01000010011001010: a8
01000010011001011: a9
01000010011001100: aa
01000010011001101: ab
01000010011001110: ac
01000010011001111: ad
01000010011010000: ae
01000010011010001: af
01000010011010010: b0
01000010011010011: b1
01000010011010100: b2
01000010011010101: b3
01000010011010110: b4
01000010011010111: b5
01111: b6
01000010011011000: b7
01000010011011001: b8
01000010011011010: b9
01000010011011011: ba
01000010011011100: bb
01000010011011101: bc
01000010011011110: bd
01000010011011111: be
01000010011100000: bf
01000010011100001: c0
01000010011100010: c1
01000010011100011: c2
01000010011100100: c3
01000010011100101: c4
01000010011100110: c5
01000011: c6
01000010011100111: c7
01000010011101000: c8
01000010011101001: c9
01000010011101010: ca
01000010011101011: cb
01000010011101100: cc
01000010011101101: cd
01000010011101110: ce
01000010011101111: cf
01000010011110000: d0
01000010011110001: d1
01000010011110010: d2
01000010011110011: d3
01000010011110100: d4
01000010011110101: d5
01000010011110110: d6
01000010011110111: d7
010001101: d8
01000010011111000: d9
01000010011111001: da
01000010011111010: db
010001110: dc
01000010011111011: dd
01000010011111100: de
01000010011111101: df
01000010011111110: e0
01000010011111111: e1
0100001000000000: e2
0100001000000001: e3
0100001000000010: e4
0100001000000011: e5
0100001000000100: e6
0100001000000101: e7
010001111: e8
0100001000000110: e9
0100001000000111: ea
0100001000001000: eb
0100001000001001: ec
0100001000001010: ed
0100001000001011: ee
0100001000001100: ef
0100001000001101: f0
0100001000001110: f1
01000000: f2
0100001000001111: f3
0100001000010000: f4
0100001000010001: f5
0100001000010010: f6
0100001000010011: f7
0100001000010100: f8
0100001000010101: f9
0100001000010110: fa
0100001000010111: fb
01000001: fc
0100001000011000: fd
01000100: fe
1010: ff
