1100: 00
11011010000000110000: 01
00: 02
11010: 03
10: 04
11011010000000110001: 05
11011010000000110010: 06
11011010000000110011: 07
01: 08
11011010000000110100: 09
11011010000000110101: 0a
11011010000000110110: 0b
110110100001: 0c
11011010000000110111: 0d
11011010000000111000: 0e
11011010000000111001: 0f
11011010000000111010: 10
11011010000000111011: 11
11011010000000111100: 12
11011010000000111101: 13
11011010000000111110: 14
11011010000000111111: 15
11011010000001000000: 16
11011010000001000001: 17
11011010000001000010: 18
11011010000001000011: 19
11011010000001000100: 1a
11011010000001000101: 1b
11011010000001000110: 1c
11011010000001000111: 1d
11011010000001001000: 1e
11011010000001001001: 1f
11011010000001001010: 20
11011010000001001011: 21
11011010000001001100: 22
11011010000001001101: 23
11011010000001001110: 24
11011010000001001111: 25
11011010000001010000: 26
11011010000001010001: 27
11011010000001010010: 28
11011010000001010011: 29
11011010000001010100: 2a
11011010000001010101: 2b
11011010000001010110: 2c
11011010000001010111: 2d
11011010000001011000: 2e
11011010000001011001: 2f
11011010000001011010: 30
11011010000001011011: 31
11011010000001011100: 32
11011010000001011101: 33
11011010000001011110: 34
11011010000001011111: 35
11011010000001100000: 36
11011010000001100001: 37
11011011: 38
11011010000001100010: 39
11011010000001100011: 3a
11011010000001100100: 3b
11011010000001100101: 3c
11011010000001100110: 3d
11011010000001100111: 3e
11011010000001101000: 3f
11011010000001101001: 40
11011010000001101010: 41
11011010000001101011: 42
11011010000001101100: 43
11011010000001101101: 44
11011010000001101110: 45
111: 46
11011010000001101111: 47
11011010000001110000: 48
11011010000001110001: 49
11011010000001110010: 4a
11011010000001110011: 4b
11011010000001110100: 4c
11011010000001110101: 4d
11011010000001110110: 4e
11011010000001110111: 4f
11011010000001111000: 50
11011010000001111001: 51
11011010000001111010: 52
11011010000001111011: 53
11011010000001111100: 54
11011010000001111101: 55
11011010000001111110: 56
11011010000001111111: 57
11011100: 58
11011010000010000000: 59
11011010000010000001: 5a
11011010000010000010: 5b
11011010000010000011: 5c
11011010000010000100: 5d
11011010000010000101: 5e
11011010000010000110: 5f
11011010000010000111: 60
11011010000010001000: 61
11011010000010001001: 62
11011010000010001010: 63
11011010000010001011: 64
11011010000010001100: 65
11011010000010001101: 66
11011010000010001110: 67
110110101000: 68
11011010000010001111: 69
11011010000010010000: 6a
11011010000010010001: 6b
11011010000010010010: 6c
11011010000010010011: 6d
11011010000010010100: 6e
11011010000010010101: 6f
11011010000010010110: 70
11011010000010010111: 71
11011010000010011000: 72
11011010000010011001: 73
11011010000010011010: 74
11011010000010011011: 75
11011101: 76
11011010000010011100: 77
11011010000010011101: 78
11011010000010011110: 79
11011010000010011111: 7a
11011010000010100000: 7b
11011010000010100001: 7c
11011010000010100010: 7d
11011010000010100011: 7e
11011010000010100100: 7f
11011110: 80
11011010000010100101: 81
11011010000010100110: 82
11011010000010100111: 83
11011010000010101000: 84
11011010000010101001: 85
11011010000010101010: 86
11011010000010101011: 87
110110101001: 88
11011010000010101100: 89
11011010000010101101: 8a
11011010000010101110: 8b
11011010000010101111: 8c
11011010000010110000: 8d
11011010000010110001: 8e
11011010000010110010: 8f
11011010000010110011: 90
11011010000010110100: 91
11011010000010110101: 92
11011010000010110110: 93
11011010000010110111: 94
11011010000010111000: 95
11011010000010111001: 96
11011010000010111010: 97
11011010000010111011: 98
11011010000010111100: 99
11011010000010111101: 9a
11011010000010111110: 9b
11011010000010111111: 9c
11011010000011000000: 9d
11011010000011000001: 9e
11011010000011000010: 9f
11011010000011000011: a0
11011010000011000100: a1
11011111: a2
11011010000011000101: a3
110110101010: a4
11011010000011000110: a5
11011010000011000111: a6
11011010000011001000: a7
11011010000011001001: a8
11011010000011001010: a9
11011010000011001011: aa
11011010000011001100: ab
11011010000011001101: ac
11011010000011001110: ad
11011010000011001111: ae
11011010000011010000: af
11011010000011010001: b0
11011010000011010010: b1
11011010000011010011: b2
11011010000011010100: b3
11011010000011010101: b4
11011010000011010110: b5
1101100: b6
11011010000011010111: b7
11011010000011011000: b8
11011010000011011001: b9
11011010000011011010: ba
11011010000011011011: bb
11011010000011011100: bc
11011010000011011101: bd
11011010000011011110: be
11011010000011011111: bf
11011010000011100000: c0
11011010000011100001: c1
11011010000011100010: c2
11011010000011100011: c3
11011010000011100100: c4
11011010000011100101: c5
11011010001: c6
11011010000011100110: c7
11011010000011100111: c8
11011010000011101000: c9
11011010000011101001: ca
11011010000011101010: cb
11011010000011101011: cc
11011010000011101100: cd
11011010000011101101: ce
11011010000011101110: cf
11011010000011101111: d0
11011010000011110000: d1
11011010000011110001: d2
11011010000011110010: d3
11011010000011110011: d4
11011010000011110100: d5
11011010000011110101: d6
11011010000011110110: d7
110110101011: d8
11011010000011110111: d9
11011010000011111000: da
11011010000011111001: db
110110101100: dc
11011010000011111010: dd
11011010000011111011: de
11011010000011111100: df
11011010000011111101: e0
11011010000011111110: e1
11011010000011111111: e2
1101101000000000000: e3
1101101000000000001: e4
1101101000000000010: e5
1101101000000000011: e6
1101101000000000100: e7
110110101101: e8
1101101000000000101: e9
1101101000000000110: ea
1101101000000000111: eb
1101101000000001000: ec
1101101000000001001: ed
1101101000000001010: ee
1101101000000001011: ef
1101101000000001100: f0
1101101000000001101: f1
110110101110: f2
1101101000000001110: f3
1101101000000001111: f4
1101101000000010000: f5
1101101000000010001: f6
1101101000000010010: f7
1101101000000010011: f8
1101101000000010100: f9
1101101000000010101: fa
1101101000000010110: fb
110110101111: fc
1101101000000010111: fd
11011010010: fe
11011010011: ff
