100: 00
1010011: 01
111: 02
000: 03
00100: 04
101001000111100: 05
101001000111101: 06
101001000111110: 07
010000: 08
101001000111111: 09
101001001000000: 0a
101001001000001: 0b
101001001000010: 0c
101001001000011: 0d
101001001000100: 0e
101001001000101: 0f
101001001000110: 10
1011: 11
101001001000111: 12
101001001001000: 13
010001: 14
101001001001001: 15
101001001001010: 16
101001001001011: 17
010010: 18
101001001001100: 19
101001001001101: 1a
101001001001110: 1b
101001001001111: 1c
101001001010000: 1d
101001001010001: 1e
101001001010010: 1f
101001001010011: 20
101001001010100: 21
010011: 22
101001001010101: 23
101001001010110: 24
101001001010111: 25
010100: 26
101001001011000: 27
010101: 28
101001001011001: 29
101001001011010: 2a
101001001011011: 2b
101001001011100: 2c
101001001011101: 2d
101001001011110: 2e
101001001011111: 2f
101001001100000: 30
101001001100001: 31
101001001100010: 32
11011: 33
101001001100011: 34
101001001100100: 35
101001001100101: 36
101001001100110: 37
10101: 38
101001001100111: 39
101001001101000: 3a
101001001101001: 3b
010110: 3c
101001001101010: 3d
101001001101011: 3e
101001001101100: 3f
101001001101101: 40
101001001101110: 41
101001001101111: 42
101001001110000: 43
101001001110001: 44
101001001110010: 45
101001001110011: 46
101001001110100: 47
101001001110101: 48
101001001110110: 49
101001001110111: 4a
101001001111000: 4b
101001001111001: 4c
101001001111010: 4d
101001001111011: 4e
101001001111100: 4f
101001001111101: 50
101001001111110: 51
101001001111111: 52
101001010000000: 53
101001010000001: 54
101001010000010: 55
101001010000011: 56
101001010000100: 57
11010: 58
101001010000101: 59
101001010000110: 5a
101001010000111: 5b
101001010001000: 5c
101001010001001: 5d
101001010001010: 5e
101001010001011: 5f
101001010001100: 60
101001010001101: 61
101001010001110: 62
101001010001111: 63
101001010010000: 64
101001010010001: 65
101001010010010: 66
101001010010011: 67
010111: 68
101001010010100: 69
101001010010101: 6a
101001010010110: 6b
101001010010111: 6c
101001010011000: 6d
101001010011001: 6e
101001010011010: 6f
011000: 70
101001010011011: 71
101001010011100: 72
101001010011101: 73
101001010011110: 74
101001010011111: 75
101001010100000: 76
101001010100001: 77
101001010100010: 78
101001010100011: 79
101001010100100: 7a
101001010100101: 7b
101001010100110: 7c
101001010100111: 7d
101001010101000: 7e
101001010101001: 7f
011001: 80
101001010101010: 81
101001010101011: 82
101001010101100: 83
101001010101101: 84
101001010101110: 85
101001010101111: 86
101001010110000: 87
101001010110001: 88
101001010110010: 89
101001010110011: 8a
101001010110100: 8b
101001010110101: 8c
101001010110110: 8d
101001010110111: 8e
101001010111000: 8f
101001010111001: 90
101001010111010: 91
011010: 92
101001010111011: 93
101001010111100: 94
101001010111101: 95
101001010111110: 96
101001010111111: 97
101001011000000: 98
101001011000001: 99
101001011000010: 9a
101001011000011: 9b
011011: 9c
101001011000100: 9d
101001011000101: 9e
101001011000110: 9f
101001011000111: a0
101001011001000: a1
101001011001001: a2
101001011001010: a3
011100: a4
101001011001011: a5
101001011001100: a6
101001011001101: a7
101001011001110: a8
101001011001111: a9
011101: aa
101001011010000: ab
101001011010001: ac
101001011010010: ad
00101: ae
101001011010011: af
101001011010100: b0
101001011010101: b1
101001011010110: b2
101001011010111: b3
101001011011000: b4
101001011011001: b5
101001011011010: b6
101001011011011: b7
101001011011100: b8
101001011011101: b9
101001011011110: ba
101001011011111: bb
101001011100000: bc
101001011100001: bd
101001011100010: be
101001011100011: bf
101001011100100: c0
101001011100101: c1
101001011100110: c2
101001011100111: c3
101001011101000: c4
101001011101001: c5
101001011101010: c6
101001011101011: c7
101001011101100: c8
101001011101101: c9
101001011101110: ca
101001011101111: cb
101001011110000: cc
101001011110001: cd
101001011110010: ce
101001011110011: cf
00110: d0
101001011110100: d1
101001011110101: d2
101001011110110: d3
101001011110111: d4
101001011111000: d5
101001011111001: d6
101001011111010: d7
101001011111011: d8
101001011111100: d9
101001011111101: da
101001011111110: db
101001011111111: dc
10100100000000: dd
011110: de
10100100000001: df
10100100000010: e0
10100100000011: e1
10100100000100: e2
10100100000101: e3
10100100000110: e4
10100100000111: e5
10100100001000: e6
10100100001001: e7
011111: e8
10100100001010: e9
10100100001011: ea
10100100001100: eb
10100100001101: ec
10100100001110: ed
10100100001111: ee
10100100010000: ef
10100100010001: f0
10100100010010: f1
10100100010011: f2
10100100010100: f3
10100100010101: f4
10100100010110: f5
10100100010111: f6
10100100011000: f7
10100100011001: f8
10100100011010: f9
101000: fa
10100100011011: fb
10100100011100: fc
10100100011101: fd
00111: fe
1100: ff
