100111: 00
1001101011000110100: 01
0: 02
1101: 03
10011011: 04
1001101011000110101: 05
1001101011000110110: 06
1001101011000110111: 07
11001000: 08
1001101011000111000: 09
1001101011000111001: 0a
1001101011000111010: 0b
1001101011000111011: 0c
1001101011000111100: 0d
1001101011000111101: 0e
1001101011000111110: 0f
1001101011000111111: 10
1001101011001000000: 11
1001101011001000001: 12
1001101011001000010: 13
1001101011001000011: 14
1001101011001000100: 15
1001101011001000101: 16
1001101011001000110: 17
110011: 18
1001101011001000111: 19
1001101011001001000: 1a
1001101011001001001: 1b
1001101011001001010: 1c
1001101011001001011: 1d
1001101011001001100: 1e
1001101011001001101: 1f
1001101011001001110: 20
1001101011001001111: 21
1010: 22
1001101011001010000: 23
1001101011001010001: 24
1001101011001010010: 25
1001101011001010011: 26
1001101011001010100: 27
1001101011001010101: 28
1001101011001010110: 29
1001101011001010111: 2a
1001101011001011000: 2b
1001101011001011001: 2c
1001101011001011010: 2d
1001101011001011011: 2e
1001101011001011100: 2f
1001101011001011101: 30
1001101011001011110: 31
10011010111: 32
1100101: 33
1001101011001011111: 34
1001101011001100000: 35
1001101011001100001: 36
1001101011001100010: 37
110010010: 38
1001101011001100011: 39
1001101011001100100: 3a
1001101011001100101: 3b
1001100010: 3c
1001101011001100110: 3d
1001101011001100111: 3e
1001101011001101000: 3f
1001101011001101001: 40
1001101011001101010: 41
1001101011001101011: 42
1001101011001101100: 43
1001101011001101101: 44
1001101011001101110: 45
111: 46
1001101011001101111: 47
1001101011001110000: 48
1001101011001110001: 49
1001101011001110010: 4a
1001101011001110011: 4b
1001101011001110100: 4c
1001101011001110101: 4d
1001101011001110110: 4e
1001101011001110111: 4f
1001101011001111000: 50
1001101011001111001: 51
1001101011001111010: 52
1001101011001111011: 53
1001101011001111100: 54
1001101011001111101: 55
1001101011001111110: 56
1001101011001111111: 57
110010011: 58
1001101011010000000: 59
1001101011010000001: 5a
1001101011010000010: 5b
1001101011010000011: 5c
1001101011010000100: 5d
1001101011010000101: 5e
1001101011010000110: 5f
1001101011010000111: 60
1001101011010001000: 61
1001101011010001001: 62
1001101011010001010: 63
1001101011010001011: 64
1001101011010001100: 65
1001101011010001101: 66
1001101011010001110: 67
1001100011: 68
1001101011010001111: 69
1001101011010010000: 6a
1001101011010010001: 6b
1001101011010010010: 6c
1001101011010010011: 6d
1001101011010010100: 6e
1001101011010010101: 6f
1001100100: 70
1001101011010010110: 71
1001101011010010111: 72
1001101011010011000: 73
1001101011010011001: 74
1001101011010011010: 75
1001101011010011011: 76
1001101011010011100: 77
1001101011010011101: 78
1001101011010011110: 79
1001101011010011111: 7a
1001101011010100000: 7b
1001101011010100001: 7c
1001101011010100010: 7d
1001101011010100011: 7e
1001101011010100100: 7f
1001100101: 80
1001101011010100101: 81
1001101011010100110: 82
1001101011010100111: 83
1001101011010101000: 84
1001101011010101001: 85
1001101011010101010: 86
1001101011010101011: 87
1001101011010101100: 88
1001101011010101101: 89
1001101011010101110: 8a
1001101011010101111: 8b
1001101011010110000: 8c
1001101011010110001: 8d
1001101011010110010: 8e
1001101011010110011: 8f
1001101011010110100: 90
1001101011010110101: 91
1001100110: 92
1001101011010110110: 93
1001101011010110111: 94
1001101011010111000: 95
1001101011010111001: 96
1001101011010111010: 97
1001101011010111011: 98
1001101011010111100: 99
1001101011010111101: 9a
1001101011010111110: 9b
1001100111: 9c
1001101011010111111: 9d
1001101011011000000: 9e
1001101011011000001: 9f
1001101011011000010: a0
1001101011011000011: a1
1001101011011000100: a2
1001101011011000101: a3
1001101000: a4
1001101011011000110: a5
1001101011011000111: a6
1001101011011001000: a7
1001101011011001001: a8
1001101011011001010: a9
1001101001: aa
1001101011011001011: ab
1001101011011001100: ac
1001101011011001101: ad
1011: ae
1001101011011001110: af
1001101011011001111: b0
1001101011011010000: b1
1001101011011010001: b2
1001101011011010010: b3
1001101011011010011: b4
1001101011011010100: b5
1001101011011010101: b6
1001101011011010110: b7
1001101011011010111: b8
1001101011011011000: b9
1001101011011011001: ba
1001101011011011010: bb
1001101011011011011: bc
1001101011011011100: bd
1001101011011011101: be
1001101011011011110: bf
1001101011011011111: c0
1001101011011100000: c1
1001101011011100001: c2
1001101011011100010: c3
1001101011011100011: c4
1001101011011100100: c5
1001101011011100101: c6
1001101011011100110: c7
1001101011011100111: c8
1001101011011101000: c9
1001101011011101001: ca
1001101011011101010: cb
1001101011011101011: cc
1001101011011101100: cd
1001101011011101101: ce
1001101011011101110: cf
1000: d0
1001101011011101111: d1
1001101011011110000: d2
1001101011011110001: d3
1001101011011110010: d4
1001101011011110011: d5
1001101011011110100: d6
1001101011011110101: d7
1001101011011110110: d8
1001101011011110111: d9
1001101011011111000: da
1001101011011111001: db
1001101011011111010: dc
1001101011011111011: dd
10010: de
1001101011011111100: df
1001101011011111101: e0
1001101011011111110: e1
1001101011011111111: e2
100110101100000000: e3
100110101100000001: e4
100110101100000010: e5
100110101100000011: e6
100110101100000100: e7
1001101010: e8
100110101100000101: e9
100110101100000110: ea
100110101100000111: eb
100110101100001000: ec
100110101100001001: ed
100110101100001010: ee
100110101100001011: ef
100110101100001100: f0
100110101100001101: f1
100110101100001110: f2
100110101100001111: f3
100110101100010000: f4
100110101100010001: f5
100110101100010010: f6
100110101100010011: f7
100110101100010100: f8
100110101100010101: f9
100110101100010110: fa
100110101100010111: fb
100110101100011000: fc
100110101100011001: fd
11000: fe
100110000: ff
