1111: 00
11100111: 01
011: 02
111010: 03
110: 04
1011000: 05
1110011000110000: 06
1110011000110001: 07
100: 08
1110011000110010: 09
1110011000110011: 0a
1110011000110100: 0b
1110011000110101: 0c
1110011000110110: 0d
1110011000110111: 0e
1110011000111000: 0f
1110011000111001: 10
00: 11
1110011000111010: 12
1110011000111011: 13
1011001: 14
1110011000111100: 15
1110011000111101: 16
1110011000111110: 17
1011010: 18
1110011000111111: 19
1110011001000000: 1a
1110011001000001: 1b
1110011001000010: 1c
1110011001000011: 1d
1110011001000100: 1e
1110011001000101: 1f
1110011001000110: 20
1110011001000111: 21
1011011: 22
1110011001001000: 23
1110011001001001: 24
1110011001001010: 25
1011100: 26
1110011001001011: 27
1011101: 28
1110011001001100: 29
1110011001001101: 2a
1110011001001110: 2b
1110011001001111: 2c
1110011001010000: 2d
1110011001010001: 2e
1110011001010010: 2f
1110011001010011: 30
1110011001010100: 31
1110011001010101: 32
1110011001010110: 33
1110011001010111: 34
1110011001011000: 35
1110011001011001: 36
1110011001011010: 37
101000: 38
1110011001011011: 39
1110011001011100: 3a
1110011001011101: 3b
1110011001011110: 3c
1110011001011111: 3d
1110011001100000: 3e
1110011001100001: 3f
1110011001100010: 40
1110011001100011: 41
1110011001100100: 42
1110011001100101: 43
1110011001100110: 44
1110011001100111: 45
1110011001101000: 46
1110011001101001: 47
1110011001101010: 48
1110011001101011: 49
1110011001101100: 4a
1110011001101101: 4b
1110011001101110: 4c
1110011001101111: 4d
1110011001110000: 4e
1110011001110001: 4f
1110011001110010: 50
1110011001110011: 51
1110011001110100: 52
1110011001110101: 53
1110011001110110: 54
1110011001110111: 55
1110011001111000: 56
1110011001111001: 57
111011: 58
1110011001111010: 59
1110011001111011: 5a
1110011001111100: 5b
1110011001111101: 5c
1110011001111110: 5d
1110011001111111: 5e
1110011010000000: 5f
1110011010000001: 60
1110011010000010: 61
1110011010000011: 62
1110011010000100: 63
1110011010000101: 64
1110011010000110: 65
1110011010000111: 66
1110011010001000: 67
1110011010001001: 68
1110011010001010: 69
1110011010001011: 6a
1110011010001100: 6b
1110011010001101: 6c
1110011010001110: 6d
1110011010001111: 6e
1110011010010000: 6f
1110011010010001: 70
1110011010010010: 71
1110011010010011: 72
1110011010010100: 73
1110011010010101: 74
1110011010010110: 75
1110011010010111: 76
1110011010011000: 77
1110011010011001: 78
1110011010011010: 79
1110011010011011: 7a
1110011010011100: 7b
1110011010011101: 7c
1110011010011110: 7d
1110011010011111: 7e
1110011010100000: 7f
1011110: 80
1110011010100001: 81
1110011010100010: 82
1110011010100011: 83
1110011010100100: 84
1110011010100101: 85
1110011010100110: 86
1110011010100111: 87
1110011010101000: 88
1110011010101001: 89
1110011010101010: 8a
1110011010101011: 8b
1110011010101100: 8c
1110011010101101: 8d
1110011010101110: 8e
1110011010101111: 8f
1110011010110000: 90
1110011010110001: 91
1011111: 92
1110011010110010: 93
1110011010110011: 94
1110011010110100: 95
1110011010110101: 96
1110011010110110: 97
1110011010110111: 98
1110011010111000: 99
1110011010111001: 9a
1110011010111010: 9b
1110011010111011: 9c
1110011010111100: 9d
1110011010111101: 9e
1110011010111110: 9f
1110011010111111: a0
1110011011000000: a1
1110011011000001: a2
1110011011000010: a3
1110000: a4
1110011011000011: a5
1110011011000100: a6
1110011011000101: a7
1110011011000110: a8
1110011011000111: a9
1110011011001000: aa
1110011011001001: ab
1110011011001010: ac
1110011011001011: ad
101001: ae
1110011011001100: af
1110011011001101: b0
1110011011001110: b1
1110011011001111: b2
1110011011010000: b3
1110011011010001: b4
1110011011010010: b5
1110011011010011: b6
1110011011010100: b7
1110011011010101: b8
1110011011010110: b9
1110011011010111: ba
1110011011011000: bb
1110011011011001: bc
1110011011011010: bd
1110011011011011: be
1110011011011100: bf
1110011011011101: c0
1110011011011110: c1
1110011011011111: c2
1110011011100000: c3
1110011011100001: c4
1110011011100010: c5
1110011011100011: c6
1110011011100100: c7
1110011011100101: c8
1110011011100110: c9
1110011011100111: ca
1110011011101000: cb
1110011011101001: cc
1110011011101010: cd
1110011011101011: ce
1110011011101100: cf
101010: d0
1110011011101101: d1
1110011011101110: d2
1110011011101111: d3
1110011011110000: d4
1110011011110001: d5
1110011011110010: d6
1110011011110011: d7
1110011011110100: d8
1110011011110101: d9
1110011011110110: da
1110011011110111: db
1110011011111000: dc
1110011011111001: dd
1110001: de
1110011011111010: df
1110011011111011: e0
1110011011111100: e1
1110011011111101: e2
1110011011111110: e3
1110011011111111: e4
111001100000000: e5
111001100000001: e6
111001100000010: e7
111001100000011: e8
111001100000100: e9
111001100000101: ea
111001100000110: eb
111001100000111: ec
111001100001000: ed
111001100001001: ee
111001100001010: ef
111001100001011: f0
111001100001100: f1
111001100001101: f2
111001100001110: f3
111001100001111: f4
111001100010000: f5
111001100010001: f6
111001100010010: f7
111001100010011: f8
111001100010100: f9
1110010: fa
111001100010101: fb
111001100010110: fc
111001100010111: fd
101011: fe
010: ff
