111000: 00
11100101011000110010: 01
00: 02
11101: 03
01: 04
11100101011000110011: 05
11100101011000110100: 06
11100101011000110101: 07
10: 08
11100101011000110110: 09
11100101011000110111: 0a
11100101011000111000: 0b
11100101011000111001: 0c
11100101011000111010: 0d
11100101011000111011: 0e
11100101011000111100: 0f
11100101011000111101: 10
11100101011000111110: 11
11100101011000111111: 12
11100101011001000000: 13
11100101011001000001: 14
11100101011001000010: 15
11100101011001000011: 16
11100101011001000100: 17
1110011: 18
11100101011001000101: 19
11100101011001000110: 1a
11100101011001000111: 1b
11100101011001001000: 1c
11100101011001001001: 1d
11100101011001001010: 1e
11100101011001001011: 1f
11100101011001001100: 20
11100101011001001101: 21
11010: 22
11100101011001001110: 23
11100101011001001111: 24
11100101011001010000: 25
11100101011001010001: 26
11100101011001010010: 27
11100101011001010011: 28
11100101011001010100: 29
11100101011001010101: 2a
11100101011001010110: 2b
11100101011001010111: 2c
11100101011001011000: 2d
11100101011001011001: 2e
11100101011001011010: 2f
11100101011001011011: 30
11100101011001011100: 31
111001010111: 32
11100101011001011101: 33
11100101011001011110: 34
11100101011001011111: 35
11100101011001100000: 36
11100101011001100001: 37
1110010110: 38
11100101011001100010: 39
11100101011001100011: 3a
11100101011001100100: 3b
11100100010: 3c
11100101011001100101: 3d
11100101011001100110: 3e
11100101011001100111: 3f
11100101011001101000: 40
11100101011001101001: 41
11100101011001101010: 42
11100101011001101011: 43
11100101011001101100: 44
11100101011001101101: 45
1111: 46
11100101011001101110: 47
11100101011001101111: 48
11100101011001110000: 49
11100101011001110001: 4a
11100101011001110010: 4b
11100101011001110011: 4c
11100101011001110100: 4d
11100101011001110101: 4e
11100101011001110110: 4f
11100101011001110111: 50
11100101011001111000: 51
11100101011001111001: 52
11100101011001111010: 53
11100101011001111011: 54
11100101011001111100: 55
11100101011001111101: 56
11100101011001111110: 57
1110010111: 58
11100101011001111111: 59
11100101011010000000: 5a
11100101011010000001: 5b
11100101011010000010: 5c
11100101011010000011: 5d
11100101011010000100: 5e
11100101011010000101: 5f
11100101011010000110: 60
11100101011010000111: 61
11100101011010001000: 62
11100101011010001001: 63
11100101011010001010: 64
11100101011010001011: 65
11100101011010001100: 66
11100101011010001101: 67
11100100011: 68
11100101011010001110: 69
11100101011010001111: 6a
11100101011010010000: 6b
11100101011010010001: 6c
11100101011010010010: 6d
11100101011010010011: 6e
11100101011010010100: 6f
11100100100: 70
11100101011010010101: 71
11100101011010010110: 72
11100101011010010111: 73
11100101011010011000: 74
11100101011010011001: 75
11100101011010011010: 76
11100101011010011011: 77
11100101011010011100: 78
11100101011010011101: 79
11100101011010011110: 7a
11100101011010011111: 7b
11100101011010100000: 7c
11100101011010100001: 7d
11100101011010100010: 7e
11100101011010100011: 7f
11100100101: 80
11100101011010100100: 81
11100101011010100101: 82
11100101011010100110: 83
11100101011010100111: 84
11100101011010101000: 85
11100101011010101001: 86
11100101011010101010: 87
11100101011010101011: 88
11100101011010101100: 89
11100101011010101101: 8a
11100101011010101110: 8b
11100101011010101111: 8c
11100101011010110000: 8d
11100101011010110001: 8e
11100101011010110010: 8f
11100101011010110011: 90
11100101011010110100: 91
11100100110: 92
11100101011010110101: 93
11100101011010110110: 94
11100101011010110111: 95
11100101011010111000: 96
11100101011010111001: 97
11100101011010111010: 98
11100101011010111011: 99
11100101011010111100: 9a
11100101011010111101: 9b
11100100111: 9c
11100101011010111110: 9d
11100101011010111111: 9e
11100101011011000000: 9f
11100101011011000001: a0
11100101011011000010: a1
11100101011011000011: a2
11100101011011000100: a3
11100101000: a4
11100101011011000101: a5
11100101011011000110: a6
11100101011011000111: a7
11100101011011001000: a8
11100101011011001001: a9
11100101001: aa
11100101011011001010: ab
11100101011011001011: ac
11100101011011001100: ad
11011: ae
11100101011011001101: af
11100101011011001110: b0
11100101011011001111: b1
11100101011011010000: b2
11100101011011010001: b3
11100101011011010010: b4
11100101011011010011: b5
11100101011011010100: b6
11100101011011010101: b7
11100101011011010110: b8
11100101011011010111: b9
11100101011011011000: ba
11100101011011011001: bb
11100101011011011010: bc
11100101011011011011: bd
11100101011011011100: be
11100101011011011101: bf
11100101011011011110: c0
11100101011011011111: c1
11100101011011100000: c2
11100101011011100001: c3
11100101011011100010: c4
11100101011011100011: c5
11100101011011100100: c6
11100101011011100101: c7
11100101011011100110: c8
11100101011011100111: c9
11100101011011101000: ca
11100101011011101001: cb
11100101011011101010: cc
11100101011011101011: cd
11100101011011101100: ce
11100101011011101101: cf
11000: d0
11100101011011101110: d1
11100101011011101111: d2
11100101011011110000: d3
11100101011011110001: d4
11100101011011110010: d5
11100101011011110011: d6
11100101011011110100: d7
11100101011011110101: d8
11100101011011110110: d9
11100101011011110111: da
11100101011011111000: db
11100101011011111001: dc
11100101011011111010: dd
110010: de
11100101011011111011: df
11100101011011111100: e0
11100101011011111101: e1
11100101011011111110: e2
11100101011011111111: e3
1110010101100000000: e4
1110010101100000001: e5
1110010101100000010: e6
1110010101100000011: e7
11100101010: e8
1110010101100000100: e9
1110010101100000101: ea
1110010101100000110: eb
1110010101100000111: ec
1110010101100001000: ed
1110010101100001001: ee
1110010101100001010: ef
1110010101100001011: f0
1110010101100001100: f1
1110010101100001101: f2
1110010101100001110: f3
1110010101100001111: f4
1110010101100010000: f5
1110010101100010001: f6
1110010101100010010: f7
1110010101100010011: f8
1110010101100010100: f9
1110010101100010101: fa
1110010101100010110: fb
1110010101100010111: fc
1110010101100011000: fd
110011: fe
1110010000: ff
