101: 00
11010: 01
00: 02
11011: 03
100011: 04
111100: 05
10001000100110: 06
10001000100111: 07
111101: 08
10001000101000: 09
10001000101001: 0a
10001000101010: 0b
10001000101011: 0c
10001000101100: 0d
10001000101101: 0e
10001000101110: 0f
10001000101111: 10
1001: 11
10001000110000: 12
10001000110001: 13
10001000110010: 14
10001000110011: 15
10001000110100: 16
10001000110101: 17
10001000110110: 18
10001000110111: 19
10001000111000: 1a
10001000111001: 1b
10001000111010: 1c
10001000111011: 1d
111110: 1e
10001000111100: 1f
10001000111101: 20
10001000111110: 21
10001000111111: 22
10001001000000: 23
10001001000001: 24
10001001000010: 25
10001001000011: 26
10001001000100: 27
10001001000101: 28
10001001000110: 29
10001001000111: 2a
10001001001000: 2b
10001001001001: 2c
10001001001010: 2d
10001001001011: 2e
10001001001100: 2f
10001001001101: 30
10001001001110: 31
10001001001111: 32
1100: 33
10001001010000: 34
10001001010001: 35
10001001010010: 36
10001001010011: 37
11100: 38
10001001010100: 39
10001001010101: 3a
10001001010110: 3b
10001001010111: 3c
10001001011000: 3d
10001001011001: 3e
10001001011010: 3f
10001001011011: 40
10001001011100: 41
10001001011101: 42
10001001011110: 43
10001001011111: 44
10001001100000: 45
10001001100001: 46
10001001100010: 47
10001001100011: 48
10001001100100: 49
10001001100101: 4a
10001001100110: 4b
10001001100111: 4c
10001001101000: 4d
10001001101001: 4e
10001001101010: 4f
10001001101011: 50
10001001101100: 51
10001001101101: 52
10001001101110: 53
10001001101111: 54
10001001110000: 55
10001001110001: 56
10001001110010: 57
111111: 58
10001001110011: 59
10001001110100: 5a
10001001110101: 5b
10001001110110: 5c
10001001110111: 5d
10001001111000: 5e
10001001111001: 5f
10001001111010: 60
10001001111011: 61
10001001111100: 62
10001001111101: 63
10001001111110: 64
10001001111111: 65
10001010000000: 66
10001010000001: 67
10001010000010: 68
10001010000011: 69
10001010000100: 6a
10001010000101: 6b
10001010000110: 6c
10001010000111: 6d
10001010001000: 6e
10001010001001: 6f
10001010001010: 70
10001010001011: 71
10001010001100: 72
10001010001101: 73
10001010001110: 74
10001010001111: 75
10001010010000: 76
10001010010001: 77
10001010010010: 78
10001010010011: 79
10001010010100: 7a
10001010010101: 7b
10001010010110: 7c
10001010010111: 7d
10001010011000: 7e
10001010011001: 7f
10001010011010: 80
10001010011011: 81
10001010011100: 82
10001010011101: 83
10001010011110: 84
10001010011111: 85
10001010100000: 86
10001010100001: 87
10001010100010: 88
10001010100011: 89
10001010100100: 8a
10001010100101: 8b
10001010100110: 8c
10001010100111: 8d
10001010101000: 8e
10001010101001: 8f
10001010101010: 90
10001010101011: 91
10001010101100: 92
10001010101101: 93
10001010101110: 94
10001010101111: 95
10001010110000: 96
10001010110001: 97
10001010110010: 98
10001010110011: 99
01000: 9a
10001010110100: 9b
10001010110101: 9c
10001010110110: 9d
10001010110111: 9e
10001010111000: 9f
10001010111001: a0
10001010111010: a1
10001010111011: a2
10001010111100: a3
10001010111101: a4
10001010111110: a5
10001010111111: a6
10001011000000: a7
10001011000001: a8
10001011000010: a9
10001011000011: aa
10001011000100: ab
10001011000101: ac
10001011000110: ad
10001011000111: ae
10001011001000: af
10001011001001: b0
10001011001010: b1
10001011001011: b2
10001011001100: b3
01001: b4
10001011001101: b5
10001011001110: b6
10001011001111: b7
10001011010000: b8
10001011010001: b9
10001011010010: ba
10001011010011: bb
10001011010100: bc
10001011010101: bd
10001011010110: be
10001011010111: bf
10001011011000: c0
10001011011001: c1
10001011011010: c2
10001011011011: c3
10001011011100: c4
10001011011101: c5
10001011011110: c6
10001011011111: c7
10001011100000: c8
10001011100001: c9
10001011100010: ca
10001011100011: cb
01010: cc
10001011100100: cd
10001011100101: ce
10001011100110: cf
10001011100111: d0
10001011101000: d1
10001011101001: d2
10001011101010: d3
10001011101011: d4
10001011101100: d5
10001011101101: d6
10001011101110: d7
10001011101111: d8
10001011110000: d9
10001011110001: da
10001011110010: db
10001011110011: dc
10001011110100: dd
10001011110101: de
10001011110110: df
10001011110111: e0
10001011111000: e1
10001011111001: e2
10001011111010: e3
10001011111011: e4
10001011111100: e5
10001011111101: e6
10001011111110: e7
01011: e8
10001011111111: e9
1000100000000: ea
1000100000001: eb
1000100000010: ec
1000100000011: ed
10000: ee
1000100000100: ef
1000100000101: f0
1000100000110: f1
1000100000111: f2
1000100001000: f3
1000100001001: f4
1000100001010: f5
1000100001011: f6
1000100001100: f7
1000100001101: f8
1000100001110: f9
1000100001111: fa
1000100010000: fb
1000100010001: fc
1000100010010: fd
11101: fe
011: ff
