1011: 00
10000111000100110: 01
0: 02
100001111: 03
10001: 04
10000111000100111: 05
10000111000101000: 06
10000111000101001: 07
10100: 08
10000111000101010: 09
10000111000101011: 0a
10000111000101100: 0b
10000111000101101: 0c
10000111000101110: 0d
10000111000101111: 0e
10000111000110000: 0f
10000111000110001: 10
10000111000110010: 11
10000111000110011: 12
10000111000110100: 13
10000111000110101: 14
10000111000110110: 15
10000111000110111: 16
10000111000111000: 17
10000111000111001: 18
10000111000111010: 19
10000111000111011: 1a
10000111000111100: 1b
10000111000111101: 1c
10000111000111110: 1d
10000000: 1e
10000111000111111: 1f
10000111001000000: 20
10000111001000001: 21
10000111001000010: 22
10000111001000011: 23
10000111001000100: 24
10000111001000101: 25
10000111001000110: 26
10000111001000111: 27
10000111001001000: 28
10000111001001001: 29
10000111001001010: 2a
10000111001001011: 2b
10000111001001100: 2c
10000111001001101: 2d
10000111001001110: 2e
10000111001001111: 2f
10000111001010000: 30
10000111001010001: 31
10000111001010010: 32
1001: 33
10000111001010011: 34
10000111001010100: 35
10000111001010101: 36
10000111001010110: 37
10101100: 38
10000111001010111: 39
10000111001011000: 3a
10000111001011001: 3b
10000111001011010: 3c
10000111001011011: 3d
10000111001011100: 3e
10000111001011101: 3f
10000111001011110: 40
10000111001011111: 41
10000111001100000: 42
10000111001100001: 43
10000111001100010: 44
10000111001100011: 45
101010: 46
10000111001100100: 47
10000111001100101: 48
10000111001100110: 49
10000111001100111: 4a
10000111001101000: 4b
10000111001101001: 4c
10000111001101010: 4d
10000111001101011: 4e
10000111001101100: 4f
10000111001101101: 50
10000111001101110: 51
10000111001101111: 52
10000111001110000: 53
10000111001110001: 54
10000111001110010: 55
10000111001110011: 56
10000111001110100: 57
10101101: 58
10000111001110101: 59
10000111001110110: 5a
10000111001110111: 5b
10000111001111000: 5c
10000111001111001: 5d
10000111001111010: 5e
10000111001111011: 5f
10000111001111100: 60
10000111001111101: 61
10000111001111110: 62
10000111001111111: 63
10000111010000000: 64
10000111010000001: 65
10000111010000010: 66
10000111010000011: 67
10000001: 68
10000111010000100: 69
10000111010000101: 6a
10000111010000110: 6b
10000111010000111: 6c
10000111010001000: 6d
10000111010001001: 6e
10000111010001010: 6f
10000111010001011: 70
10000111010001100: 71
10000111010001101: 72
10000111010001110: 73
10000111010001111: 74
10000111010010000: 75
10000111010010001: 76
10000111010010010: 77
11: 78
10000111010010011: 79
10000111010010100: 7a
10000111010010101: 7b
10000111010010110: 7c
10000111010010111: 7d
10000111010011000: 7e
10000111010011001: 7f
10000111010011010: 80
10000111010011011: 81
10000111010011100: 82
10000111010011101: 83
10000111010011110: 84
10000111010011111: 85
10000111010100000: 86
10000111010100001: 87
10000111010100010: 88
10000111010100011: 89
10000111010100100: 8a
10000111010100101: 8b
10000111010100110: 8c
10000111010100111: 8d
10000111010101000: 8e
10000111010101001: 8f
10000111010101010: 90
10000111010101011: 91
10000111010101100: 92
10000111010101101: 93
10000111010101110: 94
10000111010101111: 95
10000111010110000: 96
10000111010110001: 97
10000111010110010: 98
10000111010110011: 99
10000010: 9a
10000111010110100: 9b
10000111010110101: 9c
10000111010110110: 9d
10000111010110111: 9e
10000111010111000: 9f
10000111010111001: a0
10000111010111010: a1
10000111010111011: a2
10000111010111100: a3
10000111010111101: a4
10000111010111110: a5
10000111010111111: a6
10000111011000000: a7
10000111011000001: a8
10000111011000010: a9
10000111011000011: aa
10000111011000100: ab
10000111011000101: ac
10000111011000110: ad
10000111011000111: ae
10000111011001000: af
10000111011001001: b0
10000111011001010: b1
10000111011001011: b2
10000111011001100: b3
10000011: b4
10000111011001101: b5
10000111011001110: b6
10000111011001111: b7
10000111011010000: b8
10000111011010001: b9
10000111011010010: ba
10000111011010011: bb
10000111011010100: bc
10000111011010101: bd
10000111011010110: be
10000111011010111: bf
10000111011011000: c0
10000111011011001: c1
10000111011011010: c2
10000111011011011: c3
10000111011011100: c4
10000111011011101: c5
10000111011011110: c6
10000111011011111: c7
10000111011100000: c8
10000111011100001: c9
10000111011100010: ca
10000111011100011: cb
10000100: cc
10000111011100100: cd
10000111011100101: ce
10000111011100110: cf
10000111011100111: d0
10000111011101000: d1
10000111011101001: d2
10000111011101010: d3
10000111011101011: d4
10000111011101100: d5
10000111011101101: d6
10000111011101110: d7
10000111011101111: d8
10000111011110000: d9
10000111011110001: da
10000111011110010: db
10000111011110011: dc
10000111011110100: dd
10000101: de
10000111011110101: df
10000111011110110: e0
10000111011110111: e1
10000111011111000: e2
10000111011111001: e3
10000111011111010: e4
10000111011111011: e5
10000111011111100: e6
10000111011111101: e7
10000111011111110: e8
10000111011111111: e9
1000011100000000: ea
1000011100000001: eb
1000011100000010: ec
1000011100000011: ed
10000110: ee
1000011100000100: ef
1000011100000101: f0
1000011100000110: f1
1000011100000111: f2
1000011100001000: f3
1000011100001001: f4
1000011100001010: f5
1000011100001011: f6
1000011100001100: f7
1000011100001101: f8
1000011100001110: f9
1000011100001111: fa
1000011100010000: fb
1000011100010001: fc
1000011100010010: fd
10101110: fe
10101111: ff
