1111: 00
00001: 01
100: 02
00010: 03
101: 04
000001: 05
00000000101000: 06
00000000101001: 07
110: 08
00000000101010: 09
00000000101011: 0a
00000000101100: 0b
00000000101101: 0c
00000000101110: 0d
00000000101111: 0e
00000000110000: 0f
00000000110001: 10
011: 11
00000000110010: 12
00000000110011: 13
00000000110100: 14
00000000110101: 15
00000000110110: 16
00000000110111: 17
00000000111000: 18
00000000111001: 19
00000000111010: 1a
00000000111011: 1b
00000000111100: 1c
00000000111101: 1d
010100: 1e
00000000111110: 1f
00000000111111: 20
00000001000000: 21
00000001000001: 22
00000001000010: 23
00000001000011: 24
00000001000100: 25
00000001000101: 26
00000001000110: 27
00000001000111: 28
00000001001000: 29
00000001001001: 2a
00000001001010: 2b
00000001001011: 2c
00000001001100: 2d
00000001001101: 2e
00000001001110: 2f
00000001001111: 30
00000001010000: 31
00000001010001: 32
00000001010010: 33
00000001010011: 34
00000001010100: 35
00000001010101: 36
00000001010110: 37
00011: 38
00000001010111: 39
00000001011000: 3a
00000001011001: 3b
00000001011010: 3c
00000001011011: 3d
00000001011100: 3e
00000001011101: 3f
00000001011110: 40
00000001011111: 41
00000001100000: 42
00000001100001: 43
00000001100010: 44
00000001100011: 45
00000001100100: 46
00000001100101: 47
00000001100110: 48
00000001100111: 49
00000001101000: 4a
00000001101001: 4b
00000001101010: 4c
00000001101011: 4d
00000001101100: 4e
00000001101101: 4f
00000001101110: 50
00000001101111: 51
00000001110000: 52
00000001110001: 53
00000001110010: 54
00000001110011: 55
00000001110100: 56
00000001110101: 57
01000: 58
00000001110110: 59
00000001110111: 5a
00000001111000: 5b
00000001111001: 5c
00000001111010: 5d
00000001111011: 5e
00000001111100: 5f
00000001111101: 60
00000001111110: 61
00000001111111: 62
00000010000000: 63
00000010000001: 64
00000010000010: 65
00000010000011: 66
00000010000100: 67
010101: 68
00000010000101: 69
00000010000110: 6a
00000010000111: 6b
00000010001000: 6c
00000010001001: 6d
00000010001010: 6e
00000010001011: 6f
00000010001100: 70
00000010001101: 71
00000010001110: 72
00000010001111: 73
00000010010000: 74
00000010010001: 75
00000010010010: 76
00000010010011: 77
00000010010100: 78
00000010010101: 79
00000010010110: 7a
00000010010111: 7b
00000010011000: 7c
00000010011001: 7d
00000010011010: 7e
00000010011011: 7f
00000010011100: 80
00000010011101: 81
00000010011110: 82
00000010011111: 83
00000010100000: 84
00000010100001: 85
00000010100010: 86
00000010100011: 87
00000010100100: 88
00000010100101: 89
00000010100110: 8a
00000010100111: 8b
00000010101000: 8c
00000010101001: 8d
00000010101010: 8e
00000010101011: 8f
00000010101100: 90
00000010101101: 91
00000010101110: 92
00000010101111: 93
00000010110000: 94
00000010110001: 95
00000010110010: 96
00000010110011: 97
00000010110100: 98
00000010110101: 99
010110: 9a
00000010110110: 9b
00000010110111: 9c
00000010111000: 9d
00000010111001: 9e
00000010111010: 9f
00000010111011: a0
00000010111100: a1
00000010111101: a2
00000010111110: a3
00000010111111: a4
00000011000000: a5
00000011000001: a6
00000011000010: a7
00000011000011: a8
00000011000100: a9
00000011000101: aa
00000011000110: ab
00000011000111: ac
00000011001000: ad
00000011001001: ae
00000011001010: af
00000011001011: b0
00000011001100: b1
00000011001101: b2
00000011001110: b3
010111: b4
00000011001111: b5
00000011010000: b6
00000011010001: b7
00000011010010: b8
00000011010011: b9
00000011010100: ba
00000011010101: bb
00000011010110: bc
00000011010111: bd
00000011011000: be
00000011011001: bf
00000011011010: c0
00000011011011: c1
00000011011100: c2
00000011011101: c3
00000011011110: c4
00000011011111: c5
00000011100000: c6
00000011100001: c7
00000011100010: c8
00000011100011: c9
00000011100100: ca
00000011100101: cb
111000: cc
00000011100110: cd
00000011100111: ce
00000011101000: cf
00000011101001: d0
00000011101010: d1
00000011101011: d2
00000011101100: d3
00000011101101: d4
00000011101110: d5
00000011101111: d6
00000011110000: d7
00000011110001: d8
00000011110010: d9
00000011110011: da
00000011110100: db
00000011110101: dc
00000011110110: dd
111001: de
00000011110111: df
00000011111000: e0
00000011111001: e1
00000011111010: e2
00000011111011: e3
00000011111100: e4
00000011111101: e5
00000011111110: e6
00000011111111: e7
111010: e8
0000000000000: e9
0000000000001: ea
0000000000010: eb
0000000000011: ec
0000000000100: ed
111011: ee
0000000000101: ef
0000000000110: f0
0000000000111: f1
0000000001000: f2
0000000001001: f3
0000000001010: f4
0000000001011: f5
0000000001100: f6
0000000001101: f7
0000000001110: f8
0000000001111: f9
0000000010000: fa
0000000010001: fb
0000000010010: fc
0000000010011: fd
01001: fe
001: ff
