1101: 00
11000111000100100: 01
00: 02
110001111: 03
01: 04
11000111000100101: 05
11000111000100110: 06
11000111000100111: 07
10: 08
11000111000101000: 09
11000111000101001: 0a
11000111000101010: 0b
11000111000101011: 0c
11000111000101100: 0d
11000111000101101: 0e
11000111000101110: 0f
11000111000101111: 10
11000111000110000: 11
11000111000110001: 12
11000111000110010: 13
11000111000110011: 14
11000111000110100: 15
11000111000110101: 16
11000111000110110: 17
11000111000110111: 18
11000111000111000: 19
11000111000111001: 1a
11000111000111010: 1b
11000111000111011: 1c
11000111000111100: 1d
11000000: 1e
11000111000111101: 1f
11000111000111110: 20
11000111000111111: 21
11000111001000000: 22
11000111001000001: 23
11000111001000010: 24
11000111001000011: 25
11000111001000100: 26
11000111001000101: 27
11000111001000110: 28
11000111001000111: 29
11000111001001000: 2a
11000111001001001: 2b
11000111001001010: 2c
11000111001001011: 2d
11000111001001100: 2e
11000111001001101: 2f
11000111001001110: 30
11000111001001111: 31
11000111001010000: 32
11000111001010001: 33
11000111001010010: 34
11000111001010011: 35
11000111001010100: 36
11000111001010101: 37
11001100: 38
11000111001010110: 39
11000111001010111: 3a
11000111001011000: 3b
11000111001011001: 3c
11000111001011010: 3d
11000111001011011: 3e
11000111001011100: 3f
11000111001011101: 40
11000111001011110: 41
11000111001011111: 42
11000111001100000: 43
11000111001100001: 44
11000111001100010: 45
110010: 46
11000111001100011: 47
11000111001100100: 48
11000111001100101: 49
11000111001100110: 4a
11000111001100111: 4b
11000111001101000: 4c
11000111001101001: 4d
11000111001101010: 4e
11000111001101011: 4f
11000111001101100: 50
11000111001101101: 51
11000111001101110: 52
11000111001101111: 53
11000111001110000: 54
11000111001110001: 55
11000111001110010: 56
11000111001110011: 57
11001101: 58
11000111001110100: 59
11000111001110101: 5a
11000111001110110: 5b
11000111001110111: 5c
11000111001111000: 5d
11000111001111001: 5e
11000111001111010: 5f
11000111001111011: 60
11000111001111100: 61
11000111001111101: 62
11000111001111110: 63
11000111001111111: 64
11000111010000000: 65
11000111010000001: 66
11000111010000010: 67
11000001: 68
11000111010000011: 69
11000111010000100: 6a
11000111010000101: 6b
11000111010000110: 6c
11000111010000111: 6d
11000111010001000: 6e
11000111010001001: 6f
11000111010001010: 70
11000111010001011: 71
11000111010001100: 72
11000111010001101: 73
11000111010001110: 74
11000111010001111: 75
11000111010010000: 76
11000111010010001: 77
111: 78
11000111010010010: 79
11000111010010011: 7a
11000111010010100: 7b
11000111010010101: 7c
11000111010010110: 7d
11000111010010111: 7e
11000111010011000: 7f
11000111010011001: 80
11000111010011010: 81
11000111010011011: 82
11000111010011100: 83
11000111010011101: 84
11000111010011110: 85
11000111010011111: 86
11000111010100000: 87
11000111010100001: 88
11000111010100010: 89
11000111010100011: 8a
11000111010100100: 8b
11000111010100101: 8c
11000111010100110: 8d
11000111010100111: 8e
11000111010101000: 8f
11000111010101001: 90
11000111010101010: 91
11000111010101011: 92
11000111010101100: 93
11000111010101101: 94
11000111010101110: 95
11000111010101111: 96
11000111010110000: 97
11000111010110001: 98
11000111010110010: 99
11000010: 9a
11000111010110011: 9b
11000111010110100: 9c
11000111010110101: 9d
11000111010110110: 9e
11000111010110111: 9f
11000111010111000: a0
11000111010111001: a1
11000111010111010: a2
11000111010111011: a3
11000111010111100: a4
11000111010111101: a5
11000111010111110: a6
11000111010111111: a7
11000111011000000: a8
11000111011000001: a9
11000111011000010: aa
11000111011000011: ab
11000111011000100: ac
11000111011000101: ad
11000111011000110: ae
11000111011000111: af
11000111011001000: b0
11000111011001001: b1
11000111011001010: b2
11000111011001011: b3
11000011: b4
11000111011001100: b5
11000111011001101: b6
11000111011001110: b7
11000111011001111: b8
11000111011010000: b9
11000111011010001: ba
11000111011010010: bb
11000111011010011: bc
11000111011010100: bd
11000111011010101: be
11000111011010110: bf
11000111011010111: c0
11000111011011000: c1
11000111011011001: c2
11000111011011010: c3
11000111011011011: c4
11000111011011100: c5
11000111011011101: c6
11000111011011110: c7
11000111011011111: c8
11000111011100000: c9
11000111011100001: ca
11000111011100010: cb
11000100: cc
11000111011100011: cd
11000111011100100: ce
11000111011100101: cf
11000111011100110: d0
11000111011100111: d1
11000111011101000: d2
11000111011101001: d3
11000111011101010: d4
11000111011101011: d5
11000111011101100: d6
11000111011101101: d7
11000111011101110: d8
11000111011101111: d9
11000111011110000: da
11000111011110001: db
11000111011110010: dc
11000111011110011: dd
11000101: de
11000111011110100: df
11000111011110101: e0
11000111011110110: e1
11000111011110111: e2
11000111011111000: e3
11000111011111001: e4
11000111011111010: e5
11000111011111011: e6
11000111011111100: e7
11000111011111101: e8
11000111011111110: e9
11000111011111111: ea
1100011100000000: eb
1100011100000001: ec
1100011100000010: ed
11000110: ee
1100011100000011: ef
1100011100000100: f0
1100011100000101: f1
1100011100000110: f2
1100011100000111: f3
1100011100001000: f4
1100011100001001: f5
1100011100001010: f6
1100011100001011: f7
1100011100001100: f8
1100011100001101: f9
1100011100001110: fa
1100011100001111: fb
1100011100010000: fc
1100011100010001: fd
11001110: fe
11001111: ff
